date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-06-06,387.41,389.13,383.08,384.34,3028644.0,,US.IVV,IVV,US
2022-06-07,380.56,388.76,380.12,388.18,4627465.0,,US.IVV,IVV,US
2022-06-08,386.47,388.34,382.91,383.66,3379451.0,,US.IVV,IVV,US
2022-06-09,381.79,384.15,373.89,373.99,3994407.0,,US.IVV,IVV,US
2022-06-10,367.3,368.1,362.09,362.13,8654161.0,,US.IVV,IVV,US
2022-06-13,352.17,354.15,345.63,347.13,13018360.0,,US.IVV,IVV,US
2022-06-14,349.2,350.24,342.89,346.13,12557860.0,,US.IVV,IVV,US
2022-06-15,349.69,356.24,344.44,351.46,9075766.0,,US.IVV,IVV,US
2022-06-16,342.83,343.23,336.36,338.99,10548879.0,,US.IVV,IVV,US
2022-06-17,339.44,343.27,336.03,339.66,13277932.0,,US.IVV,IVV,US
2022-06-21,345.74,350.45,345.63,349.01,6635828.0,,US.IVV,IVV,US
2022-06-22,344.57,352.66,344.09,348.36,5115413.0,,US.IVV,IVV,US
2022-06-23,350.58,352.76,346.77,352.13,7788956.0,,US.IVV,IVV,US
2022-06-24,355.34,364.08,355.34,364.0,4803114.0,,US.IVV,IVV,US
2022-06-27,365.04,365.36,361.41,362.58,7858253.0,,US.IVV,IVV,US
2022-06-28,364.14,367.14,354.5,354.61,5630770.0,,US.IVV,IVV,US
2022-06-29,355.17,356.22,352.4,354.34,3905792.0,,US.IVV,IVV,US
2022-06-30,350.2,354.58,346.52,351.15,7321105.0,,US.IVV,IVV,US
2022-07-01,350.52,355.64,347.77,355.09,5267694.0,,US.IVV,IVV,US
2022-07-05,349.87,355.97,346.83,355.91,5097025.0,,US.IVV,IVV,US
2022-07-06,356.11,359.86,353.59,357.28,4982831.0,,US.IVV,IVV,US
2022-07-07,359.16,363.84,359.12,362.99,4786301.0,,US.IVV,IVV,US
2022-07-08,361.26,364.64,359.67,362.68,3757204.0,,US.IVV,IVV,US
2022-07-11,359.85,360.85,357.5,358.23,3601967.0,,US.IVV,IVV,US
2022-07-12,357.7,360.15,352.96,354.76,3906578.0,,US.IVV,IVV,US
2022-07-13,349.01,355.88,348.58,352.8,4665153.0,,US.IVV,IVV,US
2022-07-14,347.55,352.49,344.97,351.88,4885943.0,,US.IVV,IVV,US
2022-07-15,356.55,359.22,354.51,359.13,3959038.0,,US.IVV,IVV,US
2022-07-18,362.36,363.05,354.65,356.0,3743632.0,,US.IVV,IVV,US
2022-07-19,360.03,366.89,359.4,366.32,4683986.0,,US.IVV,IVV,US
2022-07-20,366.45,370.31,365.09,368.76,4862317.0,,US.IVV,IVV,US
2022-07-21,368.2,372.91,365.71,372.81,8258645.0,,US.IVV,IVV,US
2022-07-22,372.99,374.24,366.8,369.24,6173760.0,,US.IVV,IVV,US
2022-07-25,369.82,370.55,367.29,369.65,3960308.0,,US.IVV,IVV,US
2022-07-26,367.86,368.09,363.98,364.93,4115469.0,,US.IVV,IVV,US
2022-07-27,368.45,376.98,368.18,375.09,4904500.0,,US.IVV,IVV,US
2022-07-28,375.97,380.91,372.26,380.21,5250430.0,,US.IVV,IVV,US
2022-07-29,381.83,387.2,380.92,386.28,4438456.0,,US.IVV,IVV,US
2022-08-01,383.34,387.58,382.57,384.95,3757498.0,,US.IVV,IVV,US
2022-08-02,383.27,387.15,380.95,382.32,4000308.0,,US.IVV,IVV,US
2022-08-03,384.49,389.9,384.21,388.72,4612020.0,,US.IVV,IVV,US
2022-08-04,388.57,389.26,386.65,388.32,4000158.0,,US.IVV,IVV,US
2022-08-05,383.83,388.35,383.78,387.59,2971294.0,,US.IVV,IVV,US
2022-08-08,389.5,391.84,386.0,387.23,4304661.0,,US.IVV,IVV,US
2022-08-09,386.43,386.89,384.38,385.49,2491436.0,,US.IVV,IVV,US
2022-08-10,393.01,394.36,390.97,394.15,3837163.0,,US.IVV,IVV,US
2022-08-11,397.26,399.21,393.47,394.3,4909930.0,,US.IVV,IVV,US
2022-08-12,396.3,401.48,395.28,401.25,4492585.0,,US.IVV,IVV,US
2022-08-15,399.13,403.69,399.0,403.14,2596400.0,,US.IVV,IVV,US
2022-08-16,402.05,406.03,401.24,404.04,3596597.0,,US.IVV,IVV,US
2022-08-17,400.2,403.81,398.81,400.79,4063557.0,,US.IVV,IVV,US
2022-08-18,401.14,402.89,399.78,402.05,2709938.0,,US.IVV,IVV,US
2022-08-19,399.26,399.54,395.47,396.36,4063299.0,,US.IVV,IVV,US
2022-08-22,391.28,391.39,386.58,387.46,5263526.0,,US.IVV,IVV,US
2022-08-23,387.09,389.6,385.94,386.54,4201647.0,,US.IVV,IVV,US
2022-08-24,386.33,389.32,385.58,387.83,2673960.0,,US.IVV,IVV,US
2022-08-25,389.48,393.81,388.35,393.69,2383268.0,,US.IVV,IVV,US
2022-08-26,393.7,394.16,379.28,379.28,5994509.0,,US.IVV,IVV,US
2022-08-29,376.32,379.96,375.3,376.83,4601529.0,,US.IVV,IVV,US
2022-08-30,377.98,378.21,370.1,372.19,5693746.0,,US.IVV,IVV,US
2022-08-31,374.0,375.3,369.09,369.18,6263360.0,,US.IVV,IVV,US
2022-09-01,366.9,370.82,364.06,370.54,4934115.0,,US.IVV,IVV,US
2022-09-02,374.38,375.65,364.33,366.28,4179488.0,,US.IVV,IVV,US
2022-09-06,367.25,368.26,362.45,364.71,4866862.0,,US.IVV,IVV,US
2022-09-07,364.42,372.67,364.28,371.82,6619517.0,,US.IVV,IVV,US
2022-09-08,369.39,374.94,368.2,374.34,4018277.0,,US.IVV,IVV,US
2022-09-09,376.8,381.67,376.65,380.76,2589182.0,,US.IVV,IVV,US
2022-09-12,382.96,385.94,382.65,385.17,2797261.0,,US.IVV,IVV,US
2022-09-13,375.94,377.21,366.01,367.14,5094885.0,,US.IVV,IVV,US
2022-09-14,368.46,370.24,365.14,368.65,4272537.0,,US.IVV,IVV,US
2022-09-15,367.06,370.03,362.82,364.07,4178125.0,,US.IVV,IVV,US
2022-09-16,359.73,361.86,357.69,361.1,5107452.0,,US.IVV,IVV,US
2022-09-19,357.8,364.17,357.76,364.13,2901217.0,,US.IVV,IVV,US
2022-09-20,360.66,361.66,356.77,359.52,4101447.0,,US.IVV,IVV,US
2022-09-21,361.72,364.93,352.9,352.91,7367046.0,,US.IVV,IVV,US
2022-09-22,352.11,353.1,348.92,349.69,7497164.0,,US.IVV,IVV,US
2022-09-23,345.98,346.02,338.7,343.42,6261161.0,,US.IVV,IVV,US
2022-09-26,341.85,345.63,338.42,339.78,7292707.0,,US.IVV,IVV,US
2022-09-27,343.44,345.84,336.26,338.84,10194730.0,,US.IVV,IVV,US
2022-09-28,339.73,347.71,337.98,345.93,7013107.0,,US.IVV,IVV,US
2022-09-29,342.25,342.47,335.09,338.28,5705464.0,,US.IVV,IVV,US
2022-09-30,337.21,341.26,332.44,332.56,7337538.0,,US.IVV,IVV,US
2022-10-03,336.46,343.98,334.58,342.05,5613443.0,,US.IVV,IVV,US
2022-10-04,347.8,353.44,347.78,353.32,4489584.0,,US.IVV,IVV,US
2022-10-05,348.79,354.91,346.37,352.43,5384491.0,,US.IVV,IVV,US
2022-10-06,351.05,354.14,348.17,348.69,4463387.0,,US.IVV,IVV,US
2022-10-07,344.38,344.69,336.33,338.24,4252809.0,,US.IVV,IVV,US
2022-10-10,339.38,339.61,333.06,335.53,4113915.0,,US.IVV,IVV,US
2022-10-11,333.61,338.4,331.08,333.05,5748920.0,,US.IVV,IVV,US
2022-10-12,333.58,335.16,331.68,331.89,4127599.0,,US.IVV,IVV,US
2022-10-13,324.52,342.93,323.44,341.42,7341130.0,,US.IVV,IVV,US
2022-10-14,343.95,345.64,332.34,333.0,5333543.0,,US.IVV,IVV,US
2022-10-17,339.41,343.35,339.39,342.24,3907063.0,,US.IVV,IVV,US
2022-10-18,350.6,350.87,342.99,346.46,6820752.0,,US.IVV,IVV,US
2022-10-19,344.39,347.27,340.96,344.01,4855609.0,,US.IVV,IVV,US
2022-10-20,343.43,348.08,340.05,340.86,4991420.0,,US.IVV,IVV,US
2022-10-21,340.53,350.26,339.01,349.72,4183647.0,,US.IVV,IVV,US
2022-10-24,351.38,355.53,348.56,354.34,4184650.0,,US.IVV,IVV,US
2022-10-25,354.28,360.78,354.2,360.45,4968316.0,,US.IVV,IVV,US
2022-10-26,357.12,363.1,356.88,357.53,5089692.0,,US.IVV,IVV,US
2022-10-27,358.61,360.5,354.82,355.49,4389160.0,,US.IVV,IVV,US
2022-10-28,355.4,365.06,355.19,364.44,4090176.0,,US.IVV,IVV,US
2022-10-31,361.94,364.6,360.77,361.7,6355996.0,,US.IVV,IVV,US
2022-11-01,365.68,365.91,358.86,360.16,7292193.0,,US.IVV,IVV,US
2022-11-02,359.49,364.12,350.13,350.26,6806076.0,,US.IVV,IVV,US
2022-11-03,346.85,349.6,344.22,346.48,3496775.0,,US.IVV,IVV,US
2022-11-04,352.42,354.31,345.44,351.75,4572684.0,,US.IVV,IVV,US
2022-11-07,353.18,356.05,350.99,355.44,3778154.0,,US.IVV,IVV,US
2022-11-08,356.59,360.59,353.18,357.51,3781161.0,,US.IVV,IVV,US
2022-11-09,355.34,356.62,349.09,349.68,8459078.0,,US.IVV,IVV,US
2022-11-10,363.54,370.61,361.18,370.26,4527284.0,,US.IVV,IVV,US
2022-11-11,371.25,374.97,369.02,374.08,3746343.0,,US.IVV,IVV,US
2022-11-14,372.27,375.82,370.49,370.72,6093933.0,,US.IVV,IVV,US
2022-11-15,376.81,377.94,370.11,374.09,6157269.0,,US.IVV,IVV,US
2022-11-16,372.36,373.36,370.4,371.15,4086712.0,,US.IVV,IVV,US
2022-11-17,366.12,370.56,365.72,369.81,3341881.0,,US.IVV,IVV,US
2022-11-18,373.35,373.41,368.64,371.69,2504927.0,,US.IVV,IVV,US
2022-11-21,370.29,371.38,368.3,370.17,2302751.0,,US.IVV,IVV,US
2022-11-22,372.24,375.72,370.79,375.63,3314591.0,,US.IVV,IVV,US
2022-11-23,375.18,378.6,375.02,378.03,2267636.0,,US.IVV,IVV,US
2022-11-25,377.52,378.6,377.24,378.0,1202538.0,,US.IVV,IVV,US
2022-11-28,374.74,376.47,370.73,371.6,2508442.0,,US.IVV,IVV,US
2022-11-29,371.67,372.94,368.91,370.92,4447838.0,,US.IVV,IVV,US
2022-11-30,371.12,383.23,369.1,383.23,6014823.0,,US.IVV,IVV,US
