date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-06-06,1583.76,1588.19,1555.45,1581.99,3674126,,SH.600519,A股贵州茅台,CN
2022-06-07,1578.58,1614.73,1566.34,1608.45,3504859,,SH.600519,A股贵州茅台,CN
2022-06-08,1614.73,1665.16,1614.73,1650.65,4435381,,SH.600519,A股贵州茅台,CN
2022-06-09,1656.31,1670.78,1635.96,1639.5,2632902,,SH.600519,A股贵州茅台,CN
2022-06-10,1632.43,1687.28,1623.58,1681.62,4734462,,SH.600519,A股贵州茅台,CN
2022-06-13,1672.24,1674.01,1635.15,1642.16,3675518,,SH.600519,A股贵州茅台,CN
2022-06-14,1622.69,1659.34,1620.92,1655.43,2941623,,SH.600519,A股贵州茅台,CN
2022-06-15,1654.54,1685.51,1648.34,1659.06,3366362,,SH.600519,A股贵州茅台,CN
2022-06-16,1676.3,1687.84,1659.26,1660.74,2688670,,SH.600519,A股贵州茅台,CN
2022-06-17,1661.7,1727.1,1661.7,1726.21,5054161,,SH.600519,A股贵州茅台,CN
2022-06-20,1725.33,1743.02,1707.63,1718.27,3497478,,SH.600519,A股贵州茅台,CN
2022-06-21,1724.44,1740.36,1705.86,1721.56,2371702,,SH.600519,A股贵州茅台,CN
2022-06-22,1729.75,1732.41,1709.4,1712.94,1964665,,SH.600519,A股贵州茅台,CN
2022-06-23,1718.87,1738.63,1716.48,1731.61,2684352,,SH.600519,A股贵州茅台,CN
2022-06-24,1743.02,1787.26,1738.6,1777.54,3963465,,SH.600519,A股贵州茅台,CN
2022-06-27,1787.21,1813.75,1769.83,1778.9,4011517,,SH.600519,A股贵州茅台,CN
2022-06-28,1787.03,1805.84,1770.45,1801.42,2524571,,SH.600519,A股贵州茅台,CN
2022-06-29,1794.34,1806.73,1779.31,1796.11,3036012,,SH.600519,A股贵州茅台,CN
2022-06-30,1788.66,1857.52,1788.65,1828.9,3898243,,SH.600519,A股贵州茅台,CN
2022-07-01,1837.85,1849.27,1802.26,1814.64,2159645,,SH.600519,A股贵州茅台,CN
2022-07-04,1806.55,1810.38,1789.56,1804.76,2507589,,SH.600519,A股贵州茅台,CN
2022-07-05,1811.27,1837.35,1797.6,1818.18,2632940,,SH.600519,A股贵州茅台,CN
2022-07-06,1817.28,1823.54,1776.14,1790.45,3275166,,SH.600519,A股贵州茅台,CN
2022-07-07,1793.13,1797.02,1775.25,1779.71,2093177,,SH.600519,A股贵州茅台,CN
2022-07-08,1793.13,1801.97,1785.22,1787.76,1564389,,SH.600519,A股贵州茅台,CN
2022-07-11,1779.89,1783.98,1744.39,1756.1,2394921,,SH.600519,A股贵州茅台,CN
2022-07-12,1757.36,1764.33,1726.11,1742.52,2344686,,SH.600519,A股贵州茅台,CN
2022-07-13,1739.47,1763.62,1735.6,1751.89,1985377,,SH.600519,A股贵州茅台,CN
2022-07-14,1752.88,1767.91,1735.89,1746.62,2052724,,SH.600519,A股贵州茅台,CN
2022-07-15,1739.57,1788.37,1739.03,1743.49,3341623,,SH.600519,A股贵州茅台,CN
2022-07-18,1746.05,1751.99,1718.9,1745.43,2422072,,SH.600519,A股贵州茅台,CN
2022-07-19,1739.47,1745.42,1722.48,1737.77,2195603,,SH.600519,A股贵州茅台,CN
2022-07-20,1751.77,1761.83,1739.47,1744.03,1870461,,SH.600519,A股贵州茅台,CN
2022-07-21,1737.77,1749.22,1730.09,1734.1,1406137,,SH.600519,A股贵州茅台,CN
2022-07-22,1743.24,1754.67,1730.53,1741.26,2511357,,SH.600519,A股贵州茅台,CN
2022-07-25,1743.5,1746.0,1726.95,1739.16,1691244,,SH.600519,A股贵州茅台,CN
2022-07-26,1746.62,1757.33,1741.28,1744.13,2068510,,SH.600519,A股贵州茅台,CN
2022-07-27,1736.79,1742.15,1714.43,1716.75,2148987,,SH.600519,A股贵州茅台,CN
2022-07-28,1718.1,1733.21,1692.66,1697.44,3486986,,SH.600519,A股贵州茅台,CN
2022-07-29,1694.84,1716.21,1679.64,1697.83,3703236,,SH.600519,A股贵州茅台,CN
2022-08-01,1690.29,1706.38,1682.39,1690.55,2103741,,SH.600519,A股贵州茅台,CN
2022-08-02,1681.34,1688.48,1661.67,1681.32,2822088,,SH.600519,A股贵州茅台,CN
