date,open,high,low,close,volume,amount,stock_code,stock_name,market
2021-01-11,522.3,541.66,522.3,531.52,41658456,22778819576.0,HK.00700,腾讯控股,HK
2021-01-12,527.37,536.59,526.91,530.6,21880644,11926523174.0,HK.00700,腾讯控股,HK
2021-01-13,530.14,542.12,529.22,536.13,24526156,13511176648.0,HK.00700,腾讯控股,HK
2021-01-14,547.19,567.01,546.27,567.01,39717710,22750322235.0,HK.00700,腾讯控股,HK
2021-01-15,567.01,582.22,556.41,581.3,33259081,19497359220.0,HK.00700,腾讯控股,HK
2021-01-18,575.31,602.04,572.54,592.36,36342824,21986252025.0,HK.00700,腾讯控股,HK
2021-01-19,599.74,607.57,584.07,590.52,32892372,20020648289.0,HK.00700,腾讯控股,HK
2021-01-20,605.27,613.57,593.29,613.11,39283320,24314609981.0,HK.00700,腾讯控股,HK
2021-01-21,614.03,632.0,608.04,615.87,30107377,19133097820.0,HK.00700,腾讯控股,HK
2021-01-22,622.79,631.54,617.72,623.71,32900536,20995805041.0,HK.00700,腾讯控股,HK
2021-01-25,638.46,694.23,634.31,693.31,50943359,34857124493.0,HK.00700,腾讯控股,HK
2021-01-26,673.49,677.18,646.29,649.06,54204307,36499179797.0,HK.00700,腾讯控股,HK
2021-01-27,646.75,658.74,630.62,633.39,40555154,26685279667.0,HK.00700,腾讯控股,HK
2021-01-28,632.0,649.98,614.49,614.49,40450839,25931525968.0,HK.00700,腾讯控股,HK
2021-01-29,627.39,647.68,614.95,614.95,36854488,23662535594.0,HK.00700,腾讯控股,HK
2021-02-01,630.16,657.36,630.16,643.07,31071498,20413388474.0,HK.00700,腾讯控股,HK
2021-02-02,668.88,676.25,653.67,654.59,28558775,19399571257.0,HK.00700,腾讯控股,HK
2021-02-03,663.35,668.42,653.21,665.19,18419193,12452188597.0,HK.00700,腾讯控股,HK
2021-02-04,655.05,671.18,641.68,664.73,25643059,17234709092.0,HK.00700,腾讯控股,HK
2021-02-05,676.25,684.55,661.96,662.43,20247037,13888078660.0,HK.00700,腾讯控股,HK
2021-02-08,676.25,678.1,664.27,665.65,16074419,10996932191.0,HK.00700,腾讯控股,HK
2021-02-09,673.95,676.71,666.11,669.34,11554788,7900954955.0,HK.00700,腾讯控股,HK
