date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-05-10,55.04,58.34,52.69,58.04,41542860,2343413027.0,HK.01024,快手-W,HK
2022-05-11,57.34,65.04,55.94,62.44,45022123,2809950111.0,HK.01024,快手-W,HK
2022-05-12,60.54,64.69,60.29,62.09,31791121,2008785771.0,HK.01024,快手-W,HK
2022-05-13,64.94,67.54,63.64,67.34,52844441,3524790838.0,HK.01024,快手-W,HK
2022-05-16,69.54,70.39,67.04,67.89,24542221,1687567101.0,HK.01024,快手-W,HK
2022-05-17,68.54,71.49,68.54,71.29,30543581,2163320891.0,HK.01024,快手-W,HK
2022-05-18,71.49,71.54,67.94,69.39,27538285,1916381905.0,HK.01024,快手-W,HK
2022-05-19,66.54,68.74,65.79,67.39,25582732,1728772268.0,HK.01024,快手-W,HK
2022-05-20,70.04,71.04,69.14,70.79,30329204,2140972679.0,HK.01024,快手-W,HK
2022-05-23,69.99,70.14,64.54,65.49,31962292,2139642731.0,HK.01024,快手-W,HK
2022-05-24,65.54,67.59,61.14,62.89,27260337,1755567205.0,HK.01024,快手-W,HK
2022-05-25,65.24,67.24,64.19,66.29,46387908,3076923161.0,HK.01024,快手-W,HK
2022-05-26,67.39,67.64,64.99,67.34,23953544,1610631775.0,HK.01024,快手-W,HK
2022-05-27,70.54,71.29,67.89,68.09,36268220,2528808905.0,HK.01024,快手-W,HK
2022-05-30,70.54,71.29,69.64,70.44,32222475,2292863280.0,HK.01024,快手-W,HK
2022-05-31,70.44,76.99,70.04,75.54,169062501,12748240880.0,HK.01024,快手-W,HK
2022-06-01,73.29,76.94,73.29,76.84,53470896,4060329633.0,HK.01024,快手-W,HK
2022-06-02,76.84,81.29,75.39,79.44,36151818,2856531912.0,HK.01024,快手-W,HK
2022-06-06,80.24,83.64,79.24,83.54,51484003,4229724257.0,HK.01024,快手-W,HK
2022-06-07,84.54,86.54,82.64,84.54,33850284,2890057404.0,HK.01024,快手-W,HK
2022-06-08,87.14,89.74,85.39,86.99,54044664,4771290937.0,HK.01024,快手-W,HK
2022-06-09,88.64,89.54,84.29,86.89,35486076,3076659591.0,HK.01024,快手-W,HK
2022-06-10,84.89,88.64,83.04,86.04,57574425,4989571403.0,HK.01024,快手-W,HK
2022-06-13,82.54,87.54,81.89,86.04,39267097,3379515601.0,HK.01024,快手-W,HK
2022-06-14,84.34,86.54,82.69,85.84,26571774,2264604297.0,HK.01024,快手-W,HK
2022-06-15,86.89,89.44,86.79,87.59,31394800,2778558906.0,HK.01024,快手-W,HK
2022-06-16,85.74,87.54,78.69,79.89,76670969,6285995537.0,HK.01024,快手-W,HK
2022-06-17,78.94,82.89,77.74,82.79,58465543,4812608477.0,HK.01024,快手-W,HK
2022-06-20,81.79,82.64,78.84,82.39,24511925,2000274986.0,HK.01024,快手-W,HK
2022-06-21,82.54,85.79,81.64,85.39,21380581,1817511316.0,HK.01024,快手-W,HK
2022-06-22,84.54,85.99,81.19,81.89,23575835,1974729731.0,HK.01024,快手-W,HK
2022-06-23,81.79,83.54,80.34,83.09,19916583,1651394297.0,HK.01024,快手-W,HK
2022-06-24,83.74,87.89,83.74,86.89,27271152,2368801118.0,HK.01024,快手-W,HK
2022-06-27,87.94,90.34,87.09,89.49,35579631,3196180877.0,HK.01024,快手-W,HK
2022-06-28,89.39,89.59,86.04,89.14,22509353,1996085197.0,HK.01024,快手-W,HK
2022-06-29,87.59,89.24,85.54,87.04,21933822,1915004902.0,HK.01024,快手-W,HK
2022-06-30,86.24,89.54,85.09,86.94,21504982,1900070574.0,HK.01024,快手-W,HK
2022-07-04,87.09,88.34,85.24,87.19,14697588,1283825357.0,HK.01024,快手-W,HK
2022-07-05,88.69,91.04,87.39,88.34,23019188,2063667477.0,HK.01024,快手-W,HK
2022-07-06,89.54,89.54,84.29,86.14,18934534,1643637058.0,HK.01024,快手-W,HK
2022-07-07,84.99,86.29,82.69,85.74,13259271,1130657681.0,HK.01024,快手-W,HK
2022-07-08,87.84,88.29,85.44,86.14,9296246,810882178.0,HK.01024,快手-W,HK
