date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-04-29,11.2,12.22,11.2,12.2,124067524,1477642997.0,HK.01810,小米集团-W,HK
2022-05-03,11.58,11.9,11.4,11.66,75537344,882508429.0,HK.01810,小米集团-W,HK
2022-05-04,11.66,11.82,11.3,11.38,55584992,637494086.0,HK.01810,小米集团-W,HK
2022-05-05,11.58,11.84,11.54,11.58,84906330,993891872.0,HK.01810,小米集团-W,HK
2022-05-06,11.1,11.26,10.96,11.1,95199165,1054755772.0,HK.01810,小米集团-W,HK
2022-05-10,10.64,10.98,10.36,10.82,92534305,990909525.0,HK.01810,小米集团-W,HK
2022-05-11,10.72,11.28,10.42,11.0,119990850,1307441215.0,HK.01810,小米集团-W,HK
2022-05-12,10.8,10.96,10.3,10.36,132336455,1388485512.0,HK.01810,小米集团-W,HK
2022-05-13,10.46,11.06,10.46,11.04,124732458,1358822012.0,HK.01810,小米集团-W,HK
2022-05-16,11.18,11.36,10.94,11.12,79669228,886496233.0,HK.01810,小米集团-W,HK
2022-05-17,11.34,11.76,11.24,11.72,120318726,1390621728.0,HK.01810,小米集团-W,HK
2022-05-18,11.48,11.78,11.46,11.66,90055588,1044956837.0,HK.01810,小米集团-W,HK
2022-05-19,11.16,11.4,11.0,11.08,117817978,1315928462.0,HK.01810,小米集团-W,HK
2022-05-20,11.4,11.78,11.34,11.74,132030953,1534639563.0,HK.01810,小米集团-W,HK
2022-05-23,11.58,11.78,11.34,11.5,59939662,688918394.0,HK.01810,小米集团-W,HK
2022-05-24,11.36,11.64,11.04,11.16,67194425,754211456.0,HK.01810,小米集团-W,HK
2022-05-25,11.16,11.34,11.08,11.22,55449316,621436803.0,HK.01810,小米集团-W,HK
2022-05-26,11.3,11.46,11.08,11.3,54816444,617026236.0,HK.01810,小米集团-W,HK
2022-05-27,11.68,11.76,11.32,11.6,71705705,826331336.0,HK.01810,小米集团-W,HK
2022-05-30,11.76,12.04,11.62,12.02,106393844,1269670887.0,HK.01810,小米集团-W,HK
2022-05-31,12.12,12.14,11.82,12.14,170918224,2062887627.0,HK.01810,小米集团-W,HK
2022-06-01,12.16,12.24,11.88,12.16,77546267,935503470.0,HK.01810,小米集团-W,HK
2022-06-02,11.92,12.04,11.86,11.96,64232985,765540228.0,HK.01810,小米集团-W,HK
2022-06-06,11.96,12.34,11.76,12.34,86181852,1045686103.0,HK.01810,小米集团-W,HK
2022-06-07,12.1,12.42,11.96,12.14,93985822,1139820360.0,HK.01810,小米集团-W,HK
2022-06-08,12.28,12.58,12.16,12.58,140043896,1736720346.0,HK.01810,小米集团-W,HK
2022-06-09,12.7,12.9,12.08,12.18,128184142,1583695073.0,HK.01810,小米集团-W,HK
2022-06-10,11.92,12.22,11.82,12.18,119036187,1442359206.0,HK.01810,小米集团-W,HK
2022-06-13,11.76,11.88,11.62,11.72,118851211,1397412890.0,HK.01810,小米集团-W,HK
2022-06-14,11.62,11.72,11.36,11.54,88648708,1022569666.0,HK.01810,小米集团-W,HK
2022-06-15,11.54,11.96,11.54,11.88,92454783,1092739375.0,HK.01810,小米集团-W,HK
2022-06-16,12.1,12.12,11.34,11.46,95860296,1118863837.0,HK.01810,小米集团-W,HK
2022-06-17,11.28,11.82,11.26,11.8,147218129,1724947736.0,HK.01810,小米集团-W,HK
2022-06-20,11.78,11.92,11.6,11.8,59166341,695796414.0,HK.01810,小米集团-W,HK
2022-06-21,11.8,12.06,11.64,12.0,73853904,878196752.0,HK.01810,小米集团-W,HK
2022-06-22,11.94,12.04,11.58,11.62,68635783,805949015.0,HK.01810,小米集团-W,HK
2022-06-23,11.92,11.92,11.64,11.84,71262931,838196921.0,HK.01810,小米集团-W,HK
2022-06-24,11.82,12.28,11.8,12.22,114828526,1388334558.0,HK.01810,小米集团-W,HK
2022-06-27,12.3,13.84,12.28,13.74,387697229,5185096675.0,HK.01810,小米集团-W,HK
2022-06-28,13.64,14.54,13.56,14.22,309632718,4354011384.0,HK.01810,小米集团-W,HK
2022-06-29,13.82,14.42,13.64,13.8,164915729,2290330835.0,HK.01810,小米集团-W,HK
2022-06-30,13.66,14.02,13.36,13.64,115741648,1583472069.0,HK.01810,小米集团-W,HK
2022-07-04,13.62,13.88,13.36,13.84,104120426,1427818837.0,HK.01810,小米集团-W,HK
2022-07-05,14.04,14.28,13.26,13.36,138584800,1877279797.0,HK.01810,小米集团-W,HK
2022-07-06,13.28,13.58,12.82,13.18,117743883,1550769990.0,HK.01810,小米集团-W,HK
2022-07-07,13.16,13.48,12.86,13.42,71149190,943853094.0,HK.01810,小米集团-W,HK
2022-07-08,13.68,13.74,13.3,13.46,83286180,1126793019.0,HK.01810,小米集团-W,HK
2022-07-11,13.22,13.28,12.8,12.88,95010329,1229099064.0,HK.01810,小米集团-W,HK
2022-07-12,12.7,12.84,12.46,12.68,88799595,1123379097.0,HK.01810,小米集团-W,HK
2022-07-13,12.68,12.96,12.68,12.8,65175249,836215713.0,HK.01810,小米集团-W,HK
2022-07-14,12.84,13.06,12.64,12.78,66892002,859444823.0,HK.01810,小米集团-W,HK
2022-07-15,12.66,12.82,12.4,12.46,67213878,843083734.0,HK.01810,小米集团-W,HK
