date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-05-23,95.35,95.8,90.55,92.2,5909282,548585491.0,HK.02015,理想汽车-W,HK
2022-05-24,90.9,93.35,88.5,89.8,6413400,581051515.0,HK.02015,理想汽车-W,HK
2022-05-25,86.8,91.3,86.3,89.25,4465700,397998438.0,HK.02015,理想汽车-W,HK
2022-05-26,89.25,89.25,85.5,88.45,3777200,330662130.0,HK.02015,理想汽车-W,HK
2022-05-27,94.55,95.7,92.25,94.55,4763694,448303901.0,HK.02015,理想汽车-W,HK
2022-05-30,95.3,97.5,91.8,96.05,4912300,463645471.0,HK.02015,理想汽车-W,HK
2022-05-31,95.5,101.5,92.3,99.8,5298531,522993496.0,HK.02015,理想汽车-W,HK
2022-06-01,100.9,103.0,98.45,101.0,5811700,585700227.0,HK.02015,理想汽车-W,HK
2022-06-02,99.4,102.0,99.35,100.8,2361100,237429285.0,HK.02015,理想汽车-W,HK
2022-06-06,105.0,114.8,104.0,113.3,12256993,1368430689.0,HK.02015,理想汽车-W,HK
2022-06-07,113.7,115.7,111.7,113.5,4752628,539358997.0,HK.02015,理想汽车-W,HK
2022-06-08,116.7,122.0,116.0,118.1,8063472,956564060.0,HK.02015,理想汽车-W,HK
2022-06-09,118.6,119.3,115.6,117.2,6286800,739210907.0,HK.02015,理想汽车-W,HK
2022-06-10,115.2,123.7,114.5,122.7,8174678,997971830.0,HK.02015,理想汽车-W,HK
2022-06-13,118.7,124.1,116.6,119.0,8647959,1045217370.0,HK.02015,理想汽车-W,HK
2022-06-14,116.0,125.3,115.1,123.3,11566589,1409616907.0,HK.02015,理想汽车-W,HK
2022-06-15,128.9,137.0,127.5,129.4,9715532,1278042038.0,HK.02015,理想汽车-W,HK
2022-06-16,131.0,131.9,123.1,123.6,6506770,819689976.0,HK.02015,理想汽车-W,HK
2022-06-17,126.0,135.1,124.8,133.1,8280630,1100027774.0,HK.02015,理想汽车-W,HK
2022-06-20,133.0,141.6,130.3,139.5,7911384,1085694943.0,HK.02015,理想汽车-W,HK
2022-06-21,139.9,141.3,137.2,137.3,6588903,915899788.0,HK.02015,理想汽车-W,HK
2022-06-22,143.3,154.0,139.5,140.9,16412870,2397886831.0,HK.02015,理想汽车-W,HK
2022-06-23,146.5,157.6,146.1,154.2,13249266,2033615305.0,HK.02015,理想汽车-W,HK
2022-06-24,155.4,165.3,155.0,163.3,13626560,2195256169.0,HK.02015,理想汽车-W,HK
