date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-05-16,4.07,4.12,3.97,4.0,5078600,20692142.0,HK.03032,恒生科技ETF,HK
2022-05-17,4.0,4.26,4.0,4.2,12260630,50984039.0,HK.03032,恒生科技ETF,HK
2022-05-18,4.22,4.26,4.15,4.22,12901800,53977701.0,HK.03032,恒生科技ETF,HK
2022-05-19,4.17,4.17,4.02,4.06,4587200,18575907.0,HK.03032,恒生科技ETF,HK
2022-05-20,4.11,4.28,4.11,4.25,3810200,16098657.0,HK.03032,恒生科技ETF,HK
2022-05-23,4.23,4.23,4.12,4.15,2282400,9529070.0,HK.03032,恒生科技ETF,HK
2022-05-24,4.12,4.17,3.98,4.0,4821547,19560962.0,HK.03032,恒生科技ETF,HK
2022-05-25,3.98,4.07,3.97,4.03,2015200,8092110.0,HK.03032,恒生科技ETF,HK
2022-05-26,4.03,4.03,3.94,4.0,20103000,79693542.0,HK.03032,恒生科技ETF,HK
2022-05-27,4.18,4.2,4.11,4.15,2901600,12072099.0,HK.03032,恒生科技ETF,HK
2022-05-30,4.18,4.32,4.18,4.32,5277000,22596690.0,HK.03032,恒生科技ETF,HK
2022-05-31,4.33,4.48,4.3,4.43,8652600,38178004.0,HK.03032,恒生科技ETF,HK
2022-06-01,4.43,4.46,4.34,4.41,3683200,16178919.0,HK.03032,恒生科技ETF,HK
2022-06-02,4.32,4.39,4.3,4.36,2191200,9503533.0,HK.03032,恒生科技ETF,HK
2022-06-06,4.36,4.59,4.36,4.56,4907298,22003945.0,HK.03032,恒生科技ETF,HK
2022-06-07,4.56,4.64,4.5,4.57,5467400,25020149.0,HK.03032,恒生科技ETF,HK
2022-06-08,4.63,4.8,4.63,4.78,9145473,43293980.0,HK.03032,恒生科技ETF,HK
2022-06-09,4.85,4.87,4.65,4.71,7594400,36062307.0,HK.03032,恒生科技ETF,HK
2022-06-10,4.59,4.81,4.54,4.79,4449400,21025230.0,HK.03032,恒生科技ETF,HK
2022-06-13,4.68,4.69,4.54,4.57,5266906,24257194.0,HK.03032,恒生科技ETF,HK
2022-06-14,4.45,4.62,4.44,4.56,3983500,18034341.0,HK.03032,恒生科技ETF,HK
2022-06-15,4.63,4.71,4.63,4.67,3848400,17997199.0,HK.03032,恒生科技ETF,HK
2022-06-16,4.75,4.75,4.47,4.5,5049400,23235531.0,HK.03032,恒生科技ETF,HK
2022-06-17,4.49,4.64,4.47,4.63,2769000,12728268.0,HK.03032,恒生科技ETF,HK
2022-06-20,4.63,4.64,4.52,4.62,3167600,14538812.0,HK.03032,恒生科技ETF,HK
2022-06-21,4.64,4.73,4.61,4.73,9677600,45490795.0,HK.03032,恒生科技ETF,HK
2022-06-22,4.73,4.73,4.53,4.54,8285652,38130786.0,HK.03032,恒生科技ETF,HK
2022-06-23,4.55,4.66,4.53,4.63,9086000,42012345.0,HK.03032,恒生科技ETF,HK
2022-06-24,4.7,4.84,4.69,4.81,7607000,36437100.0,HK.03032,恒生科技ETF,HK
2022-06-27,4.84,5.1,4.84,5.04,12950800,64875310.0,HK.03032,恒生科技ETF,HK
2022-06-28,5.04,5.11,4.89,5.06,11080000,55408213.0,HK.03032,恒生科技ETF,HK
2022-06-29,4.96,5.03,4.85,4.89,17686000,86973308.0,HK.03032,恒生科技ETF,HK
2022-06-30,4.89,4.93,4.78,4.85,6488382,31589414.0,HK.03032,恒生科技ETF,HK
2022-07-04,4.85,4.87,4.76,4.85,5330000,25737737.0,HK.03032,恒生科技ETF,HK
2022-07-05,4.87,4.96,4.81,4.83,6817050,33286153.0,HK.03032,恒生科技ETF,HK
2022-07-06,4.83,4.86,4.67,4.75,6711000,31902493.0,HK.03032,恒生科技ETF,HK
2022-07-07,4.72,4.76,4.61,4.73,5435400,25476787.0,HK.03032,恒生科技ETF,HK
2022-07-08,4.78,4.83,4.74,4.76,5810145,27803769.0,HK.03032,恒生科技ETF,HK
2022-07-11,4.63,4.68,4.56,4.57,8551800,39256734.0,HK.03032,恒生科技ETF,HK
2022-07-12,4.56,4.57,4.47,4.5,8044638,36331506.0,HK.03032,恒生科技ETF,HK
2022-07-13,4.56,4.6,4.51,4.52,6138869,27972755.0,HK.03032,恒生科技ETF,HK
2022-07-14,4.51,4.61,4.5,4.55,2928600,13334544.0,HK.03032,恒生科技ETF,HK
2022-07-15,4.51,4.53,4.39,4.41,7560200,33630542.0,HK.03032,恒生科技ETF,HK
2022-07-18,4.42,4.56,4.36,4.54,5515201,24689113.0,HK.03032,恒生科技ETF,HK
2022-07-19,4.51,4.53,4.45,4.47,3951200,17719118.0,HK.03032,恒生科技ETF,HK
2022-07-20,4.57,4.6,4.55,4.55,2149600,9838563.0,HK.03032,恒生科技ETF,HK
2022-07-21,4.51,4.6,4.51,4.54,5000600,22760585.0,HK.03032,恒生科技ETF,HK
2022-07-22,4.55,4.63,4.54,4.57,2134729,9776875.0,HK.03032,恒生科技ETF,HK
2022-07-25,4.57,4.57,4.45,4.5,4442600,19908481.0,HK.03032,恒生科技ETF,HK
2022-07-26,4.54,4.58,4.5,4.57,2574200,11712986.0,HK.03032,恒生科技ETF,HK
2022-07-27,4.6,4.6,4.48,4.5,2677200,12033398.0,HK.03032,恒生科技ETF,HK
2022-07-28,4.53,4.56,4.51,4.51,2049000,9280170.0,HK.03032,恒生科技ETF,HK
2022-07-29,4.52,4.52,4.27,4.29,13411800,58241962.0,HK.03032,恒生科技ETF,HK
2022-08-01,4.29,4.34,4.23,4.3,2686200,11505134.0,HK.03032,恒生科技ETF,HK
2022-08-02,4.25,4.25,4.1,4.2,5140000,21354632.0,HK.03032,恒生科技ETF,HK
2022-08-03,4.2,4.29,4.2,4.21,5264691,22340604.0,HK.03032,恒生科技ETF,HK
2022-08-04,4.3,4.36,4.3,4.35,2449800,10631923.0,HK.03032,恒生科技ETF,HK
2022-08-05,4.36,4.41,4.35,4.39,3959424,17357174.0,HK.03032,恒生科技ETF,HK
2022-08-08,4.39,4.39,4.29,4.31,4749400,20515122.0,HK.03032,恒生科技ETF,HK
2022-08-09,4.31,4.34,4.24,4.27,7889600,33834619.0,HK.03032,恒生科技ETF,HK
2022-08-10,4.24,4.24,4.11,4.14,5867000,24349133.0,HK.03032,恒生科技ETF,HK
2022-08-11,4.2,4.3,4.2,4.3,5513524,23503023.0,HK.03032,恒生科技ETF,HK
2022-08-12,4.3,4.34,4.28,4.32,3117200,13454865.0,HK.03032,恒生科技ETF,HK
2022-08-15,4.31,4.37,4.28,4.29,2654000,11474626.0,HK.03032,恒生科技ETF,HK
2022-08-16,4.29,4.32,4.14,4.2,4757400,20021798.0,HK.03032,恒生科技ETF,HK
2022-08-17,4.2,4.26,4.17,4.22,2865800,12093555.0,HK.03032,恒生科技ETF,HK
2022-08-18,4.2,4.22,4.15,4.17,2841200,11844080.0,HK.03032,恒生科技ETF,HK
2022-08-19,4.17,4.22,4.14,4.17,5327075,22276387.0,HK.03032,恒生科技ETF,HK
2022-08-22,4.12,4.17,4.11,4.14,3616125,14991909.0,HK.03032,恒生科技ETF,HK
2022-08-23,4.15,4.16,4.08,4.12,5834800,24034574.0,HK.03032,恒生科技ETF,HK
2022-08-24,4.12,4.12,4.0,4.0,7827600,31481745.0,HK.03032,恒生科技ETF,HK
2022-08-25,4.05,4.26,4.05,4.25,6577600,27521568.0,HK.03032,恒生科技ETF,HK
2022-08-26,4.26,4.33,4.25,4.27,6315000,27043376.0,HK.03032,恒生科技ETF,HK
2022-08-29,4.26,4.26,4.19,4.22,5102400,21590834.0,HK.03032,恒生科技ETF,HK
2022-08-30,4.22,4.22,4.1,4.2,6506200,26995403.0,HK.03032,恒生科技ETF,HK
2022-08-31,4.15,4.33,4.1,4.24,7248400,30800022.0,HK.03032,恒生科技ETF,HK
2022-09-01,4.24,4.26,4.16,4.18,6011000,25285932.0,HK.03032,恒生科技ETF,HK
2022-09-02,4.19,4.21,4.1,4.11,3943800,16310438.0,HK.03032,恒生科技ETF,HK
2022-09-05,4.11,4.11,4.01,4.03,6515200,26271842.0,HK.03032,恒生科技ETF,HK
2022-09-06,4.03,4.08,4.0,4.04,6398200,25818920.0,HK.03032,恒生科技ETF,HK
2022-09-07,4.05,4.05,3.94,3.99,8410632,33376072.0,HK.03032,恒生科技ETF,HK
2022-09-08,4.02,4.04,3.94,3.95,6747000,26837872.0,HK.03032,恒生科技ETF,HK
2022-09-09,3.97,4.07,3.95,4.06,6331600,25588924.0,HK.03032,恒生科技ETF,HK
2022-09-13,4.05,4.09,4.04,4.05,7321642,29800964.0,HK.03032,恒生科技ETF,HK
2022-09-14,3.94,3.96,3.91,3.94,8652944,34079968.0,HK.03032,恒生科技ETF,HK
2022-09-15,3.94,3.96,3.91,3.94,6061200,23872737.0,HK.03032,恒生科技ETF,HK
2022-09-16,3.94,3.94,3.84,3.84,8685200,33560556.0,HK.03032,恒生科技ETF,HK
2022-09-19,3.84,3.84,3.74,3.75,7869200,29593092.0,HK.03032,恒生科技ETF,HK
2022-09-20,3.81,3.86,3.81,3.83,3379400,12969713.0,HK.03032,恒生科技ETF,HK
2022-09-21,3.79,3.8,3.72,3.72,4537200,16963367.0,HK.03032,恒生科技ETF,HK
2022-09-22,3.67,3.67,3.59,3.66,11310051,41050690.0,HK.03032,恒生科技ETF,HK
2022-09-23,3.66,3.66,3.57,3.57,7239400,26044916.0,HK.03032,恒生科技ETF,HK
2022-09-26,3.56,3.68,3.54,3.63,8534600,31018110.0,HK.03032,恒生科技ETF,HK
2022-09-27,3.64,3.65,3.56,3.65,7746800,28056959.0,HK.03032,恒生科技ETF,HK
2022-09-28,3.6,3.6,3.49,3.51,13239600,46834277.0,HK.03032,恒生科技ETF,HK
