date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-05-23,172.5,173.7,165.5,167.7,28566571,4799700442.0,HK.03690,美团-W,HK
2022-05-24,167.5,169.4,156.0,159.6,34499947,5535044863.0,HK.03690,美团-W,HK
2022-05-25,159.3,163.4,156.2,159.7,23534891,3751217066.0,HK.03690,美团-W,HK
2022-05-26,161.7,161.8,152.4,158.6,22184712,3481518780.0,HK.03690,美团-W,HK
2022-05-27,166.5,169.4,160.9,163.9,32424080,5356301849.0,HK.03690,美团-W,HK
2022-05-30,168.8,176.8,167.9,175.1,44394745,7697474102.0,HK.03690,美团-W,HK
2022-05-31,174.7,187.1,173.7,187.0,52536707,9621101287.0,HK.03690,美团-W,HK
2022-06-01,184.7,187.3,178.8,182.5,28745719,5254550763.0,HK.03690,美团-W,HK
2022-06-02,178.5,183.6,175.6,180.2,27650843,4944945246.0,HK.03690,美团-W,HK
2022-06-06,192.0,198.1,187.2,198.1,52844539,10221851402.0,HK.03690,美团-W,HK
2022-06-07,197.6,202.4,193.4,199.0,36520966,7238801650.0,HK.03690,美团-W,HK
2022-06-08,204.4,210.0,202.4,208.2,49529296,10245670972.0,HK.03690,美团-W,HK
2022-06-09,209.4,211.6,197.2,201.8,45094591,9143693876.0,HK.03690,美团-W,HK
2022-06-10,195.3,208.6,195.0,201.2,59757791,12125461086.0,HK.03690,美团-W,HK
2022-06-13,195.4,199.3,186.8,188.2,47852863,9195732398.0,HK.03690,美团-W,HK
2022-06-14,186.4,197.4,183.0,194.4,45630900,8701977136.0,HK.03690,美团-W,HK
2022-06-15,200.2,202.8,196.1,197.0,31702659,6303687523.0,HK.03690,美团-W,HK
2022-06-16,202.6,202.6,186.6,189.2,30923811,5972215635.0,HK.03690,美团-W,HK
2022-06-17,189.0,200.0,187.5,199.1,41539099,8179812760.0,HK.03690,美团-W,HK
2022-06-20,200.0,200.8,194.8,199.4,19567596,3880349781.0,HK.03690,美团-W,HK
2022-06-21,200.0,202.2,195.3,201.2,20084578,3999130995.0,HK.03690,美团-W,HK
2022-06-22,201.2,201.2,190.3,191.6,24450049,4747663003.0,HK.03690,美团-W,HK
2022-06-23,193.2,195.5,185.6,192.6,23729076,4532590949.0,HK.03690,美团-W,HK
2022-06-24,195.1,200.2,188.0,198.1,30535036,5969439714.0,HK.03690,美团-W,HK
2022-06-27,201.0,210.0,200.0,205.0,40891219,8408899104.0,HK.03690,美团-W,HK
2022-06-28,205.0,210.8,197.5,207.6,32122986,6553564795.0,HK.03690,美团-W,HK
2022-06-29,204.6,206.8,198.3,202.8,26639598,5388158583.0,HK.03690,美团-W,HK
2022-06-30,199.8,204.0,191.9,194.2,32444184,6382418164.0,HK.03690,美团-W,HK
2022-07-04,196.0,203.4,193.3,201.2,24212667,4837067275.0,HK.03690,美团-W,HK
2022-07-05,205.0,205.6,196.0,197.7,15618630,3111888524.0,HK.03690,美团-W,HK
2022-07-06,197.2,199.8,190.1,195.9,18181782,3545669410.0,HK.03690,美团-W,HK
2022-07-07,192.1,195.3,188.1,194.4,18290219,3517746225.0,HK.03690,美团-W,HK
2022-07-08,198.0,198.2,190.2,192.3,15029795,2902568915.0,HK.03690,美团-W,HK
2022-07-11,188.5,188.5,180.0,181.6,30615208,5585060771.0,HK.03690,美团-W,HK
2022-07-12,179.8,183.1,174.5,178.0,25505508,4544697675.0,HK.03690,美团-W,HK
2022-07-13,179.0,185.7,179.0,180.5,17343497,3159024640.0,HK.03690,美团-W,HK
2022-07-14,181.1,185.4,179.7,182.5,16538169,3023015628.0,HK.03690,美团-W,HK
2022-07-15,180.2,184.0,176.2,179.2,21497378,3853717158.0,HK.03690,美团-W,HK
2022-07-18,185.0,191.9,183.6,189.7,34638466,6530582815.0,HK.03690,美团-W,HK
2022-07-19,190.4,192.4,187.2,189.1,15552498,2949232906.0,HK.03690,美团-W,HK
2022-07-20,193.6,197.8,193.4,194.7,18575240,3637254920.0,HK.03690,美团-W,HK
2022-07-21,193.7,196.0,189.2,190.4,22373294,4304680144.0,HK.03690,美团-W,HK
2022-07-22,194.0,194.9,189.6,191.7,15008353,2885846231.0,HK.03690,美团-W,HK
2022-07-25,190.7,191.5,184.1,188.2,15606282,2917790315.0,HK.03690,美团-W,HK
2022-07-26,188.7,192.4,185.3,190.7,11205025,2128086516.0,HK.03690,美团-W,HK
2022-07-27,188.8,192.4,187.8,190.1,9431352,1785538125.0,HK.03690,美团-W,HK
2022-07-28,191.2,191.6,187.4,188.0,14058776,2653625995.0,HK.03690,美团-W,HK
2022-07-29,188.9,189.8,173.3,176.3,37161599,6620045023.0,HK.03690,美团-W,HK
2022-08-01,177.3,181.5,173.7,180.0,17921551,3200428424.0,HK.03690,美团-W,HK
2022-08-02,175.0,177.3,171.9,176.2,28277651,4942775838.0,HK.03690,美团-W,HK
2022-08-03,179.1,180.5,175.4,177.1,19046985,3380888779.0,HK.03690,美团-W,HK
2022-08-04,181.5,184.4,180.3,183.8,15527963,2830922063.0,HK.03690,美团-W,HK
2022-08-05,186.9,187.0,182.6,183.5,10321784,1901972353.0,HK.03690,美团-W,HK
2022-08-08,181.1,183.5,178.5,179.6,12690016,2281062411.0,HK.03690,美团-W,HK
2022-08-09,179.7,180.0,174.2,176.0,15998055,2826369586.0,HK.03690,美团-W,HK
2022-08-10,174.7,176.5,167.0,169.6,23557035,3994347499.0,HK.03690,美团-W,HK
2022-08-11,172.0,176.9,171.1,176.4,20644773,3599420066.0,HK.03690,美团-W,HK
2022-08-12,177.8,179.9,175.9,179.1,14324286,2550314256.0,HK.03690,美团-W,HK
2022-08-15,179.0,185.0,178.5,180.9,14582497,2652963535.0,HK.03690,美团-W,HK
2022-08-16,184.3,184.5,159.5,164.5,66970466,11191442122.0,HK.03690,美团-W,HK
2022-08-17,169.6,173.2,165.7,170.0,38079991,6482358468.0,HK.03690,美团-W,HK
2022-08-18,173.0,174.9,169.5,171.1,18845951,3231010580.0,HK.03690,美团-W,HK
2022-08-19,169.4,174.4,165.4,169.9,20464820,3479759915.0,HK.03690,美团-W,HK
2022-08-22,166.4,175.5,165.7,171.1,18756016,3217085466.0,HK.03690,美团-W,HK
2022-08-23,171.1,173.4,167.1,168.7,16913154,2865545680.0,HK.03690,美团-W,HK
2022-08-24,170.9,171.2,163.1,164.1,24176621,3993237450.0,HK.03690,美团-W,HK
2022-08-25,164.9,179.5,164.9,177.3,27920623,4862147743.0,HK.03690,美团-W,HK
2022-08-26,180.3,183.8,177.7,181.9,28586308,5152428676.0,HK.03690,美团-W,HK
2022-08-29,188.0,191.0,184.0,186.7,49828941,9386009372.0,HK.03690,美团-W,HK
2022-08-30,189.4,189.4,179.7,185.0,26865792,4926095157.0,HK.03690,美团-W,HK
2022-08-31,181.2,193.6,180.2,189.8,60734926,11497327931.0,HK.03690,美团-W,HK
2022-09-01,185.0,186.5,177.0,178.7,30511180,5533289774.0,HK.03690,美团-W,HK
2022-09-02,182.0,182.4,174.2,176.2,19643601,3471405432.0,HK.03690,美团-W,HK
2022-09-05,174.0,175.6,169.6,173.6,16340553,2830019357.0,HK.03690,美团-W,HK
2022-09-06,175.6,177.7,172.0,173.4,12974024,2256406527.0,HK.03690,美团-W,HK
2022-09-07,170.4,173.6,167.8,172.1,13830921,2354672803.0,HK.03690,美团-W,HK
2022-09-08,172.7,175.2,170.4,171.5,9187502,1584880514.0,HK.03690,美团-W,HK
2022-09-09,172.6,181.1,172.3,179.9,18276352,3273123049.0,HK.03690,美团-W,HK
2022-09-13,181.1,181.6,177.4,177.8,13153478,2360756933.0,HK.03690,美团-W,HK
2022-09-14,173.1,176.2,172.4,173.8,11858668,2063215147.0,HK.03690,美团-W,HK
2022-09-15,173.8,177.2,173.3,175.4,10370843,1817559940.0,HK.03690,美团-W,HK
2022-09-16,172.4,175.0,170.0,171.9,15356162,2646672400.0,HK.03690,美团-W,HK
2022-09-19,172.0,172.0,167.2,169.4,13739607,2328278332.0,HK.03690,美团-W,HK
2022-09-20,172.0,176.7,171.4,172.6,13838467,2407603745.0,HK.03690,美团-W,HK
2022-09-21,172.3,172.3,166.1,167.5,15593525,2617350578.0,HK.03690,美团-W,HK
2022-09-22,163.9,165.0,160.3,164.9,17788120,2899572063.0,HK.03690,美团-W,HK
2022-09-23,162.4,164.7,160.3,160.3,12682207,2051913232.0,HK.03690,美团-W,HK
2022-09-26,160.0,170.6,159.4,167.5,20487619,3418971827.0,HK.03690,美团-W,HK
2022-09-27,168.1,174.8,166.5,174.2,23512367,4011839828.0,HK.03690,美团-W,HK
2022-09-28,172.0,172.9,167.7,168.8,18959922,3230942292.0,HK.03690,美团-W,HK
2022-09-29,174.5,174.7,167.5,170.2,17156821,2933681602.0,HK.03690,美团-W,HK
2022-09-30,171.6,171.6,160.9,165.6,19211935,3173009111.0,HK.03690,美团-W,HK
2022-10-03,164.4,165.9,159.8,161.7,13299004,2156123393.0,HK.03690,美团-W,HK
2022-10-05,168.4,177.0,168.0,174.9,23594372,4082401950.0,HK.03690,美团-W,HK
2022-10-06,177.5,179.4,173.3,177.1,11941492,2110140344.0,HK.03690,美团-W,HK
2022-10-07,175.4,177.5,172.8,172.9,6408263,1118484483.0,HK.03690,美团-W,HK
2022-10-10,168.0,168.0,159.6,161.3,30853484,5008951138.0,HK.03690,美团-W,HK
2022-10-11,161.3,161.5,146.7,151.4,38209080,5793751581.0,HK.03690,美团-W,HK
2022-10-12,151.8,158.6,142.0,150.4,42562313,6343715524.0,HK.03690,美团-W,HK
2022-10-13,149.8,149.8,144.5,146.0,19571364,2875921021.0,HK.03690,美团-W,HK
2022-10-14,148.7,155.3,148.7,149.0,26274605,3975681110.0,HK.03690,美团-W,HK
2022-10-17,146.0,153.5,141.6,149.7,24052728,3535780731.0,HK.03690,美团-W,HK
2022-10-18,153.2,155.8,149.5,154.0,25249963,3869177785.0,HK.03690,美团-W,HK
2022-10-19,153.4,153.6,144.4,144.5,25715958,3790444432.0,HK.03690,美团-W,HK
