date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-05-27,38.36,39.26,38.16,38.96,22429387,1072478662.0,HK.03968,招商银行,HK
2022-05-30,39.36,39.66,38.81,39.31,17080644,826451513.0,HK.03968,招商银行,HK
2022-05-31,39.66,40.86,39.11,40.86,38690273,1916436793.0,HK.03968,招商银行,HK
2022-06-01,40.76,40.76,39.76,40.36,21740876,1074641411.0,HK.03968,招商银行,HK
2022-06-02,39.41,39.81,39.01,39.61,12286509,595697008.0,HK.03968,招商银行,HK
2022-06-06,39.41,40.01,38.56,39.86,13662651,661562615.0,HK.03968,招商银行,HK
2022-06-07,39.51,40.01,39.16,39.71,10898732,530791904.0,HK.03968,招商银行,HK
2022-06-08,39.86,40.51,39.26,40.46,21691555,1066384645.0,HK.03968,招商银行,HK
2022-06-09,40.31,41.46,39.96,40.61,21508866,1073804322.0,HK.03968,招商银行,HK
2022-06-10,39.91,40.36,39.16,39.76,19891669,971961148.0,HK.03968,招商银行,HK
2022-06-13,37.91,38.66,37.46,37.96,21993315,1037991260.0,HK.03968,招商银行,HK
2022-06-14,37.01,38.41,36.71,37.81,16444279,767284326.0,HK.03968,招商银行,HK
2022-06-15,37.61,40.21,37.61,39.66,21706180,1055103884.0,HK.03968,招商银行,HK
2022-06-16,40.21,40.36,38.46,39.01,13404147,650834003.0,HK.03968,招商银行,HK
2022-06-17,39.21,39.61,38.56,39.11,15433464,745228710.0,HK.03968,招商银行,HK
2022-06-20,39.21,39.76,38.86,39.61,9868034,478501555.0,HK.03968,招商银行,HK
2022-06-21,39.66,40.86,39.41,40.41,14302371,707285900.0,HK.03968,招商银行,HK
2022-06-22,40.96,40.96,39.11,39.31,17121305,837845048.0,HK.03968,招商银行,HK
2022-06-23,39.71,40.71,39.56,40.36,12966234,639907069.0,HK.03968,招商银行,HK
2022-06-24,40.86,41.31,40.16,40.46,18668324,928473608.0,HK.03968,招商银行,HK
2022-06-27,41.41,42.66,40.66,42.26,19180990,981044868.0,HK.03968,招商银行,HK
2022-06-28,42.36,42.66,41.61,42.26,11568765,593474562.0,HK.03968,招商银行,HK
2022-06-29,42.26,42.86,41.66,41.86,15162112,778780147.0,HK.03968,招商银行,HK
2022-06-30,41.71,43.86,41.61,43.36,32310325,1692982173.0,HK.03968,招商银行,HK
2022-07-04,42.36,42.86,41.86,42.61,17893998,922160492.0,HK.03968,招商银行,HK
2022-07-05,42.61,43.26,41.96,42.31,10832367,558054094.0,HK.03968,招商银行,HK
2022-07-06,42.26,42.36,40.16,41.11,20078725,1006837418.0,HK.03968,招商银行,HK
2022-07-07,40.84,41.34,40.49,41.24,12173753,591957429.0,HK.03968,招商银行,HK
2022-07-08,41.79,41.84,40.74,41.39,10887080,527904459.0,HK.03968,招商银行,HK
2022-07-11,41.09,41.09,39.74,40.24,10486847,498407606.0,HK.03968,招商银行,HK
2022-07-12,40.39,40.64,39.64,39.64,8065112,381491162.0,HK.03968,招商银行,HK
2022-07-13,39.64,39.84,36.29,36.39,50278747,2245326787.0,HK.03968,招商银行,HK
2022-07-14,36.19,36.19,32.79,34.64,78260656,3262985356.0,HK.03968,招商银行,HK
2022-07-15,33.69,35.29,33.69,33.99,40336741,1677482122.0,HK.03968,招商银行,HK
2022-07-18,34.74,35.64,34.19,35.39,30564605,1296570543.0,HK.03968,招商银行,HK
2022-07-19,34.84,35.54,34.54,35.19,12197051,518868772.0,HK.03968,招商银行,HK
2022-07-20,35.64,36.09,35.54,35.84,15303059,660063805.0,HK.03968,招商银行,HK
2022-07-21,35.24,35.79,34.74,34.84,13202677,561867645.0,HK.03968,招商银行,HK
2022-07-22,34.99,36.19,34.99,35.49,12247533,524918626.0,HK.03968,招商银行,HK
2022-07-25,35.49,36.39,35.39,35.79,14759578,640052548.0,HK.03968,招商银行,HK
2022-07-26,36.14,37.29,36.14,37.09,15981682,707191342.0,HK.03968,招商银行,HK
2022-07-27,36.64,36.94,36.39,36.59,10889683,478459986.0,HK.03968,招商银行,HK
2022-07-28,36.64,36.64,35.54,35.69,23383346,1010720298.0,HK.03968,招商银行,HK
2022-07-29,35.89,36.39,34.59,35.04,25055103,1065582573.0,HK.03968,招商银行,HK
2022-08-01,34.89,34.94,33.89,34.44,13857333,578387539.0,HK.03968,招商银行,HK
2022-08-02,33.69,33.79,32.69,33.24,22092251,894314806.0,HK.03968,招商银行,HK
2022-08-03,33.39,33.49,32.49,32.84,19017552,764135425.0,HK.03968,招商银行,HK
2022-08-04,33.39,33.39,32.74,33.29,15228131,616684250.0,HK.03968,招商银行,HK
2022-08-05,33.24,34.04,32.94,33.69,18188003,742479448.0,HK.03968,招商银行,HK
2022-08-08,33.89,34.14,33.19,33.64,8622925,353619286.0,HK.03968,招商银行,HK
2022-08-09,33.94,33.94,33.09,33.24,10791975,440410622.0,HK.03968,招商银行,HK
2022-08-10,32.99,33.44,31.99,32.44,16255704,647174600.0,HK.03968,招商银行,HK
2022-08-11,33.14,34.29,32.59,34.24,16350361,672248499.0,HK.03968,招商银行,HK
2022-08-12,34.04,34.44,33.54,34.29,6080541,252330791.0,HK.03968,招商银行,HK
2022-08-15,33.54,34.14,33.19,33.39,8837891,360795936.0,HK.03968,招商银行,HK
2022-08-16,33.64,34.34,33.09,33.74,11919935,490608894.0,HK.03968,招商银行,HK
2022-08-17,34.04,34.24,33.29,33.79,7482586,308103730.0,HK.03968,招商银行,HK
2022-08-18,33.94,33.94,32.69,32.94,12755950,514807059.0,HK.03968,招商银行,HK
2022-08-19,32.64,33.49,32.59,33.09,10095139,408587964.0,HK.03968,招商银行,HK
2022-08-22,32.39,33.24,32.39,32.79,12438892,500389263.0,HK.03968,招商银行,HK
2022-08-23,32.59,32.74,31.44,31.74,17580698,688667660.0,HK.03968,招商银行,HK
2022-08-24,31.79,32.09,30.99,31.49,17788681,689171046.0,HK.03968,招商银行,HK
2022-08-25,31.49,32.74,31.39,32.64,7152522,282970560.0,HK.03968,招商银行,HK
2022-08-26,32.79,33.24,32.44,33.24,12261726,493573644.0,HK.03968,招商银行,HK
2022-08-29,32.24,32.59,31.94,32.49,9074673,359624240.0,HK.03968,招商银行,HK
2022-08-30,32.29,32.59,31.74,32.49,10162541,402557291.0,HK.03968,招商银行,HK
2022-08-31,31.64,33.54,31.59,32.94,36485695,1466817858.0,HK.03968,招商银行,HK
2022-09-01,32.54,33.19,32.39,32.64,19937797,801090905.0,HK.03968,招商银行,HK
2022-09-02,32.79,33.24,32.44,32.79,14005791,562263732.0,HK.03968,招商银行,HK
2022-09-05,32.84,32.94,31.89,32.29,12035496,477829070.0,HK.03968,招商银行,HK
2022-09-06,32.29,32.79,31.19,31.34,19340718,751835707.0,HK.03968,招商银行,HK
2022-09-07,30.94,31.09,30.34,30.99,21362408,813617691.0,HK.03968,招商银行,HK
2022-09-08,30.84,30.94,30.44,30.64,13766069,523715636.0,HK.03968,招商银行,HK
2022-09-09,30.94,32.49,30.64,32.29,24701762,973813273.0,HK.03968,招商银行,HK
2022-09-13,31.69,33.44,31.69,32.74,21428650,863040942.0,HK.03968,招商银行,HK
2022-09-14,32.14,32.79,31.79,31.99,17065558,675412766.0,HK.03968,招商银行,HK
2022-09-15,31.99,34.29,31.99,33.79,28555667,1170920153.0,HK.03968,招商银行,HK
2022-09-16,33.04,33.39,32.54,32.69,19120721,768639273.0,HK.03968,招商银行,HK
2022-09-19,32.54,33.09,32.09,32.39,10908642,433929379.0,HK.03968,招商银行,HK
2022-09-20,32.54,32.69,31.39,31.74,13781149,538427603.0,HK.03968,招商银行,HK
2022-09-21,31.39,31.99,30.89,31.59,13159374,510293661.0,HK.03968,招商银行,HK
2022-09-22,30.54,31.29,30.54,30.99,9988780,382784787.0,HK.03968,招商银行,HK
2022-09-23,30.69,31.54,30.64,30.79,6863050,262874318.0,HK.03968,招商银行,HK
2022-09-26,30.59,30.74,29.94,30.09,12774205,479808786.0,HK.03968,招商银行,HK
2022-09-27,30.09,30.39,29.39,29.79,12156894,451348116.0,HK.03968,招商银行,HK
2022-09-28,29.39,29.59,28.64,28.69,14886756,542502578.0,HK.03968,招商银行,HK
2022-09-29,29.04,30.04,28.29,28.49,20802481,757057219.0,HK.03968,招商银行,HK
2022-09-30,28.14,29.84,28.14,29.14,20848130,763005033.0,HK.03968,招商银行,HK
2022-10-03,28.89,29.34,27.94,28.24,9203870,330462693.0,HK.03968,招商银行,HK
2022-10-05,29.44,31.09,29.04,30.59,16275116,613408114.0,HK.03968,招商银行,HK
2022-10-06,31.39,31.39,29.89,30.34,7148895,270330203.0,HK.03968,招商银行,HK
2022-10-07,30.29,30.44,29.74,29.94,6122801,229224521.0,HK.03968,招商银行,HK
2022-10-10,29.39,29.39,26.99,27.04,32666800,1144970677.0,HK.03968,招商银行,HK
2022-10-11,26.64,26.94,25.64,25.79,33308957,1115660473.0,HK.03968,招商银行,HK
2022-10-12,25.19,25.44,23.79,23.99,66501645,2108978260.0,HK.03968,招商银行,HK
2022-10-13,22.99,23.34,22.24,22.74,71747739,2160827353.0,HK.03968,招商银行,HK
2022-10-14,22.74,23.99,22.74,23.29,47420808,1457803933.0,HK.03968,招商银行,HK
2022-10-17,23.14,24.44,23.04,23.99,31030143,969224929.0,HK.03968,招商银行,HK
2022-10-18,24.49,24.59,23.99,24.29,22320385,705245662.0,HK.03968,招商银行,HK
2022-10-19,24.14,24.84,23.89,24.04,10638256,335755919.0,HK.03968,招商银行,HK
2022-10-20,23.34,23.64,22.64,23.04,17551205,533533154.0,HK.03968,招商银行,HK
2022-10-21,22.79,23.09,22.54,22.79,18768394,566702510.0,HK.03968,招商银行,HK
2022-10-24,22.24,22.34,20.24,20.39,55911990,1585210658.0,HK.03968,招商银行,HK
2022-10-25,20.64,21.14,20.14,21.09,28492472,801832346.0,HK.03968,招商银行,HK
2022-10-26,20.59,21.19,20.34,20.64,23359943,657149817.0,HK.03968,招商银行,HK
2022-10-27,21.34,21.59,20.39,20.49,29925084,845107898.0,HK.03968,招商银行,HK
