date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-04-29,208.89,267.89,204.49,247.49,26926251,6883291319.0,HK.09618,京东集团-SW,HK
2022-05-03,232.89,240.69,223.89,231.69,17500126,4407552084.0,HK.09618,京东集团-SW,HK
2022-05-04,225.89,227.89,219.89,221.49,7617477,1836897537.0,HK.09618,京东集团-SW,HK
2022-05-05,228.09,231.29,220.09,223.49,10533336,2569026779.0,HK.09618,京东集团-SW,HK
2022-05-06,212.89,216.29,205.49,208.49,11118477,2533872366.0,HK.09618,京东集团-SW,HK
2022-05-10,181.19,193.09,181.19,189.89,27481497,5655302390.0,HK.09618,京东集团-SW,HK
2022-05-11,185.89,198.49,184.09,190.09,20039496,4193564081.0,HK.09618,京东集团-SW,HK
2022-05-12,180.89,182.69,171.29,173.89,22275662,4336874255.0,HK.09618,京东集团-SW,HK
2022-05-13,178.09,183.29,177.89,181.49,14049091,2799212728.0,HK.09618,京东集团-SW,HK
2022-05-16,186.89,190.89,179.89,181.89,8207444,1658499765.0,HK.09618,京东集团-SW,HK
2022-05-17,187.09,199.09,185.29,196.69,15919535,3370723185.0,HK.09618,京东集团-SW,HK
2022-05-18,195.09,196.09,187.09,194.29,15135344,3180102449.0,HK.09618,京东集团-SW,HK
2022-05-19,185.7,189.6,182.3,186.6,13923745,2775027744.0,HK.09618,京东集团-SW,HK
2022-05-20,193.6,201.4,193.4,198.4,14984250,3159739659.0,HK.09618,京东集团-SW,HK
2022-05-23,197.4,204.6,196.2,199.6,18768024,4009912363.0,HK.09618,京东集团-SW,HK
2022-05-24,195.4,200.4,187.0,188.4,17941973,3693936035.0,HK.09618,京东集团-SW,HK
2022-05-25,184.0,187.4,182.9,185.4,9777705,1942288121.0,HK.09618,京东集团-SW,HK
2022-05-26,186.3,186.3,180.5,184.2,7491959,1474561190.0,HK.09618,京东集团-SW,HK
2022-05-27,194.0,195.8,192.2,195.2,12177627,2524083552.0,HK.09618,京东集团-SW,HK
2022-05-30,200.8,210.2,200.2,209.6,17275282,3777780728.0,HK.09618,京东集团-SW,HK
2022-05-31,209.0,217.6,205.6,212.8,25198704,5685253001.0,HK.09618,京东集团-SW,HK
2022-06-01,210.0,213.6,206.8,211.0,12871097,2888850685.0,HK.09618,京东集团-SW,HK
2022-06-02,207.0,210.8,203.6,208.2,11386613,2523258000.0,HK.09618,京东集团-SW,HK
2022-06-06,216.0,219.8,209.8,218.6,14583426,3315597731.0,HK.09618,京东集团-SW,HK
2022-06-07,228.8,231.4,223.2,225.6,17532537,4221536619.0,HK.09618,京东集团-SW,HK
2022-06-08,229.8,243.8,229.0,241.0,26010177,6510628112.0,HK.09618,京东集团-SW,HK
2022-06-09,245.8,248.8,231.0,235.8,19851258,4963805423.0,HK.09618,京东集团-SW,HK
2022-06-10,226.0,239.6,223.0,237.6,27221560,6788769527.0,HK.09618,京东集团-SW,HK
2022-06-13,224.6,233.4,224.0,226.0,20692445,5045560574.0,HK.09618,京东集团-SW,HK
2022-06-14,220.8,232.2,220.2,228.0,13094185,3127493692.0,HK.09618,京东集团-SW,HK
