date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-05-16,109.6,113.9,108.8,109.8,226497,24986278.0,HK.09866,蔚来-SW,HK
2022-05-17,114.1,121.9,113.6,121.5,500810,59827129.0,HK.09866,蔚来-SW,HK
2022-05-18,130.0,133.0,128.4,130.4,527530,68741249.0,HK.09866,蔚来-SW,HK
2022-05-19,123.2,126.7,122.0,123.6,266220,33136690.0,HK.09866,蔚来-SW,HK
2022-05-20,127.7,135.4,127.7,135.4,553183,74263513.0,HK.09866,蔚来-SW,HK
2022-05-23,134.0,135.8,132.0,132.4,653491,87407723.0,HK.09866,蔚来-SW,HK
2022-05-24,126.9,126.9,121.7,121.7,705900,87199966.0,HK.09866,蔚来-SW,HK
2022-05-25,117.0,121.6,115.0,118.5,538260,64440085.0,HK.09866,蔚来-SW,HK
2022-05-26,117.6,117.6,114.0,115.9,657936,76035456.0,HK.09866,蔚来-SW,HK
2022-05-27,123.9,127.0,123.8,125.7,516810,64826095.0,HK.09866,蔚来-SW,HK
2022-05-30,130.2,134.7,130.2,132.5,412506,54830401.0,HK.09866,蔚来-SW,HK
2022-05-31,135.0,140.4,132.0,136.0,551063,74653085.0,HK.09866,蔚来-SW,HK
2022-06-01,140.0,141.0,136.8,139.2,545780,76217136.0,HK.09866,蔚来-SW,HK
2022-06-02,140.0,144.5,137.2,141.2,597383,84740838.0,HK.09866,蔚来-SW,HK
2022-06-06,142.4,151.0,142.4,149.5,691640,101252771.0,HK.09866,蔚来-SW,HK
2022-06-07,154.1,158.8,152.0,153.8,688700,106353069.0,HK.09866,蔚来-SW,HK
2022-06-08,155.0,166.5,155.0,161.6,1191970,192860360.0,HK.09866,蔚来-SW,HK
2022-06-09,165.8,165.8,153.5,159.7,866749,139081104.0,HK.09866,蔚来-SW,HK
2022-06-10,150.0,162.7,146.9,154.7,3253328,507503305.0,HK.09866,蔚来-SW,HK
2022-06-13,143.2,148.0,139.9,139.9,1645710,237508361.0,HK.09866,蔚来-SW,HK
2022-06-14,127.8,136.9,127.1,132.6,1270183,167560978.0,HK.09866,蔚来-SW,HK
2022-06-15,148.0,154.1,147.3,149.1,1196560,180156311.0,HK.09866,蔚来-SW,HK
2022-06-16,159.5,161.4,154.8,155.3,1999499,315564209.0,HK.09866,蔚来-SW,HK
2022-06-17,149.8,161.1,148.3,159.4,2349729,372916646.0,HK.09866,蔚来-SW,HK
2022-06-20,163.0,180.2,161.7,176.0,1248320,213646767.0,HK.09866,蔚来-SW,HK
2022-06-21,176.5,178.0,172.0,175.1,1277280,224099628.0,HK.09866,蔚来-SW,HK
2022-06-22,181.4,184.5,175.1,175.5,1300670,231948925.0,HK.09866,蔚来-SW,HK
2022-06-23,179.9,190.6,178.9,184.2,1403107,260518971.0,HK.09866,蔚来-SW,HK
2022-06-24,180.0,190.2,178.3,188.5,1857430,347225783.0,HK.09866,蔚来-SW,HK
2022-06-27,193.8,199.2,190.8,193.5,1510551,293659166.0,HK.09866,蔚来-SW,HK
2022-06-28,181.4,189.2,175.6,186.7,2090540,383625236.0,HK.09866,蔚来-SW,HK
2022-06-29,174.8,177.9,162.0,165.5,2521450,426544088.0,HK.09866,蔚来-SW,HK
2022-06-30,169.6,176.8,168.0,172.0,1304330,224423003.0,HK.09866,蔚来-SW,HK
2022-07-04,172.0,173.2,164.4,168.8,783042,131380988.0,HK.09866,蔚来-SW,HK
2022-07-05,171.0,174.5,167.0,170.2,617949,105144038.0,HK.09866,蔚来-SW,HK
2022-07-06,171.1,176.5,167.0,172.9,736190,126675663.0,HK.09866,蔚来-SW,HK
2022-07-07,163.9,167.8,160.8,166.8,869420,143442701.0,HK.09866,蔚来-SW,HK
2022-07-08,177.0,179.2,175.3,176.1,1374670,243982081.0,HK.09866,蔚来-SW,HK
2022-07-11,176.1,176.1,166.3,168.7,721930,122126194.0,HK.09866,蔚来-SW,HK
2022-07-12,161.3,163.6,157.3,158.4,626251,100122977.0,HK.09866,蔚来-SW,HK
2022-07-13,163.9,166.5,161.0,161.5,277410,45279510.0,HK.09866,蔚来-SW,HK
2022-07-14,161.6,169.1,161.6,165.5,396750,65844207.0,HK.09866,蔚来-SW,HK
2022-07-15,165.5,170.2,163.3,163.9,257350,42910916.0,HK.09866,蔚来-SW,HK
2022-07-18,163.8,168.0,160.4,163.9,787943,128680048.0,HK.09866,蔚来-SW,HK
2022-07-19,166.9,166.9,158.8,160.5,569448,91215901.0,HK.09866,蔚来-SW,HK
2022-07-20,160.5,161.5,156.8,157.0,332000,52585000.0,HK.09866,蔚来-SW,HK
2022-07-21,157.0,161.0,153.9,155.1,895750,139977807.0,HK.09866,蔚来-SW,HK
2022-07-22,160.1,162.7,159.0,160.4,556578,89432316.0,HK.09866,蔚来-SW,HK
2022-07-25,152.0,152.5,148.0,150.1,787861,117640666.0,HK.09866,蔚来-SW,HK
