date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-04-29,120.7,133.1,116.6,130.6,9010286,1149236311.0,HK.09888,百度集团-SW,HK
2022-05-03,126.0,128.4,121.9,126.3,4262821,536928028.0,HK.09888,百度集团-SW,HK
2022-05-04,125.7,125.7,121.4,122.5,2641805,325005082.0,HK.09888,百度集团-SW,HK
2022-05-05,127.0,129.9,125.0,125.7,3521654,448376300.0,HK.09888,百度集团-SW,HK
2022-05-06,121.1,121.7,117.7,117.9,3930371,467131889.0,HK.09888,百度集团-SW,HK
2022-05-10,105.4,110.3,104.5,109.5,7235088,781110277.0,HK.09888,百度集团-SW,HK
2022-05-11,106.7,113.8,106.3,110.6,4394189,485176032.0,HK.09888,百度集团-SW,HK
2022-05-12,106.0,110.5,104.2,104.5,6306082,667251617.0,HK.09888,百度集团-SW,HK
2022-05-13,109.7,111.7,108.1,111.0,5682846,628363745.0,HK.09888,百度集团-SW,HK
2022-05-16,115.6,116.8,111.5,113.3,3887041,443942326.0,HK.09888,百度集团-SW,HK
2022-05-17,116.0,120.4,116.0,119.3,5101472,606648044.0,HK.09888,百度集团-SW,HK
2022-05-18,120.7,122.8,118.4,121.3,4668998,562632401.0,HK.09888,百度集团-SW,HK
2022-05-19,118.0,119.3,115.2,117.5,4358299,512008484.0,HK.09888,百度集团-SW,HK
2022-05-20,123.8,124.8,122.2,123.6,5189867,640912087.0,HK.09888,百度集团-SW,HK
2022-05-23,123.5,124.6,121.3,123.0,3477274,426433624.0,HK.09888,百度集团-SW,HK
2022-05-24,119.5,122.3,116.0,117.3,3057531,361026584.0,HK.09888,百度集团-SW,HK
2022-05-25,114.3,117.3,113.1,115.5,4348054,499720367.0,HK.09888,百度集团-SW,HK
2022-05-26,118.0,118.3,113.6,115.7,4394858,506094355.0,HK.09888,百度集团-SW,HK
2022-05-27,133.0,134.3,131.2,132.2,10203896,1354101476.0,HK.09888,百度集团-SW,HK
2022-05-30,137.0,138.2,135.0,137.6,6779255,929794284.0,HK.09888,百度集团-SW,HK
2022-05-31,139.2,147.5,138.3,147.5,21728760,3154947937.0,HK.09888,百度集团-SW,HK
2022-06-01,140.9,142.6,138.9,140.2,9171116,1289394796.0,HK.09888,百度集团-SW,HK
2022-06-02,139.7,140.2,138.5,139.1,5275571,734524961.0,HK.09888,百度集团-SW,HK
2022-06-06,143.0,147.9,141.7,146.3,7527041,1081363494.0,HK.09888,百度集团-SW,HK
2022-06-07,143.9,144.5,141.0,143.4,6791073,972466587.0,HK.09888,百度集团-SW,HK
2022-06-08,147.9,153.0,147.2,152.1,12926193,1946458775.0,HK.09888,百度集团-SW,HK
2022-06-09,151.4,152.8,147.1,149.8,14083191,2113940563.0,HK.09888,百度集团-SW,HK
2022-06-10,140.7,150.9,140.3,149.9,30540281,4530347445.0,HK.09888,百度集团-SW,HK
2022-06-13,139.0,141.5,137.5,139.1,9549418,1337577501.0,HK.09888,百度集团-SW,HK
2022-06-14,130.9,137.0,130.0,136.2,9264242,1241652541.0,HK.09888,百度集团-SW,HK
2022-06-15,139.9,145.4,139.5,142.3,9403715,1345282388.0,HK.09888,百度集团-SW,HK
2022-06-16,146.6,146.6,136.8,138.2,7251334,1020066674.0,HK.09888,百度集团-SW,HK
2022-06-17,134.4,141.2,134.4,138.9,6143057,852039002.0,HK.09888,百度集团-SW,HK
2022-06-20,139.2,141.1,137.4,139.9,4377326,610874529.0,HK.09888,百度集团-SW,HK
2022-06-21,142.0,144.2,140.5,143.1,5723523,817532919.0,HK.09888,百度集团-SW,HK
2022-06-22,145.0,145.0,140.4,140.5,6512792,927140502.0,HK.09888,百度集团-SW,HK
2022-06-23,141.8,144.0,140.3,142.2,5220312,743121222.0,HK.09888,百度集团-SW,HK
2022-06-24,144.3,149.3,143.7,147.8,6948769,1023507840.0,HK.09888,百度集团-SW,HK
2022-06-27,151.0,154.5,149.7,152.5,8393821,1282267061.0,HK.09888,百度集团-SW,HK
2022-06-28,152.6,155.7,149.9,154.7,7312854,1122898142.0,HK.09888,百度集团-SW,HK
2022-06-29,150.3,153.4,148.1,150.0,6802602,1023805015.0,HK.09888,百度集团-SW,HK
2022-06-30,150.8,152.4,147.0,148.5,8309126,1242724532.0,HK.09888,百度集团-SW,HK
2022-07-04,148.5,152.1,147.2,151.9,8302227,1246540949.0,HK.09888,百度集团-SW,HK
2022-07-05,154.0,155.2,151.5,152.0,4869115,743175770.0,HK.09888,百度集团-SW,HK
2022-07-06,152.0,152.6,148.1,149.9,4813346,722956921.0,HK.09888,百度集团-SW,HK
2022-07-07,146.0,147.3,142.7,147.0,5450878,794188102.0,HK.09888,百度集团-SW,HK
2022-07-08,151.9,152.6,149.3,150.0,5082064,765919298.0,HK.09888,百度集团-SW,HK
2022-07-11,149.2,149.2,143.3,144.8,5221500,761054901.0,HK.09888,百度集团-SW,HK
2022-07-12,141.4,143.9,140.5,142.3,3668345,521166069.0,HK.09888,百度集团-SW,HK
2022-07-13,142.3,144.9,141.2,141.7,5700611,814271771.0,HK.09888,百度集团-SW,HK
2022-07-14,143.8,145.4,141.9,144.3,5665914,813890127.0,HK.09888,百度集团-SW,HK
2022-07-15,140.0,140.7,136.0,137.3,5775505,799334404.0,HK.09888,百度集团-SW,HK
2022-07-18,137.3,142.7,135.0,141.4,4070001,570821657.0,HK.09888,百度集团-SW,HK
2022-07-19,138.6,139.2,136.4,137.2,3522368,484552567.0,HK.09888,百度集团-SW,HK
2022-07-20,140.8,143.7,139.8,140.6,3765388,533557469.0,HK.09888,百度集团-SW,HK
2022-07-21,140.4,140.4,136.6,139.1,4586896,635702866.0,HK.09888,百度集团-SW,HK
2022-07-22,141.3,143.2,139.7,140.1,3044996,429177706.0,HK.09888,百度集团-SW,HK
2022-07-25,139.3,139.3,136.1,138.0,3098015,426385009.0,HK.09888,百度集团-SW,HK
2022-07-26,139.1,141.7,138.1,140.2,2892117,405668950.0,HK.09888,百度集团-SW,HK
2022-07-27,136.8,137.2,135.6,136.3,3989581,543557206.0,HK.09888,百度集团-SW,HK
2022-07-28,136.7,139.9,136.7,138.6,4995887,692816716.0,HK.09888,百度集团-SW,HK
2022-07-29,139.0,139.2,130.4,132.5,6066458,807864402.0,HK.09888,百度集团-SW,HK
2022-08-01,132.5,135.3,130.9,134.4,3496223,468502521.0,HK.09888,百度集团-SW,HK
2022-08-02,130.0,130.5,127.0,128.8,4547859,585227845.0,HK.09888,百度集团-SW,HK
2022-08-03,133.3,133.3,129.2,130.3,3487033,454979970.0,HK.09888,百度集团-SW,HK
2022-08-04,133.5,138.0,133.1,135.8,3403665,461563439.0,HK.09888,百度集团-SW,HK
2022-08-05,137.6,138.7,135.3,137.8,3440928,472443270.0,HK.09888,百度集团-SW,HK
2022-08-08,133.8,136.4,133.5,135.3,2749364,371526621.0,HK.09888,百度集团-SW,HK
2022-08-09,135.3,136.5,133.2,134.5,2337273,314968704.0,HK.09888,百度集团-SW,HK
2022-08-10,133.8,133.8,128.6,130.1,3053184,396491747.0,HK.09888,百度集团-SW,HK
2022-08-11,134.5,136.8,133.4,136.8,4368829,591846537.0,HK.09888,百度集团-SW,HK
2022-08-12,136.8,137.1,134.8,136.4,3014881,410616831.0,HK.09888,百度集团-SW,HK
2022-08-15,135.1,137.8,133.4,135.0,3882887,524919395.0,HK.09888,百度集团-SW,HK
2022-08-16,137.9,138.6,132.0,134.1,3214270,434101928.0,HK.09888,百度集团-SW,HK
2022-08-17,134.3,134.6,130.8,132.8,2417903,321207360.0,HK.09888,百度集团-SW,HK
2022-08-18,131.0,131.3,126.8,128.3,4097599,526254763.0,HK.09888,百度集团-SW,HK
2022-08-19,125.0,130.1,124.5,127.7,2969961,379684481.0,HK.09888,百度集团-SW,HK
2022-08-22,126.0,131.5,126.0,128.9,4735969,613304575.0,HK.09888,百度集团-SW,HK
2022-08-23,128.7,132.4,128.7,130.8,5417822,709798643.0,HK.09888,百度集团-SW,HK
2022-08-24,131.2,131.6,127.5,129.9,4660118,603570288.0,HK.09888,百度集团-SW,HK
2022-08-25,134.1,143.4,134.1,141.8,6082541,853850582.0,HK.09888,百度集团-SW,HK
2022-08-26,146.7,147.7,145.0,145.4,5877949,858717906.0,HK.09888,百度集团-SW,HK
2022-08-29,147.0,147.0,143.7,145.8,5124094,746766431.0,HK.09888,百度集团-SW,HK
2022-08-30,145.7,146.4,141.0,146.3,5348928,770518124.0,HK.09888,百度集团-SW,HK
2022-08-31,136.6,144.8,135.6,141.5,13502398,1900042059.0,HK.09888,百度集团-SW,HK
2022-09-01,139.9,145.5,138.9,141.0,6075706,863137942.0,HK.09888,百度集团-SW,HK
2022-09-02,141.1,142.8,138.3,139.3,15002794,2091562881.0,HK.09888,百度集团-SW,HK
2022-09-05,138.0,138.0,134.9,137.1,11395634,1574454921.0,HK.09888,百度集团-SW,HK
2022-09-06,139.0,139.3,135.6,137.5,3728088,512682232.0,HK.09888,百度集团-SW,HK
2022-09-07,131.5,133.3,130.8,132.4,5279642,697537244.0,HK.09888,百度集团-SW,HK
2022-09-08,133.7,134.9,131.8,132.3,5194599,691885660.0,HK.09888,百度集团-SW,HK
2022-09-09,134.8,138.1,133.0,137.4,4282427,583922278.0,HK.09888,百度集团-SW,HK
2022-09-13,137.0,137.9,135.5,136.1,4475361,611692483.0,HK.09888,百度集团-SW,HK
2022-09-14,129.3,130.9,128.3,128.4,6056991,783733398.0,HK.09888,百度集团-SW,HK
2022-09-15,127.4,128.0,126.3,127.5,4902585,623734894.0,HK.09888,百度集团-SW,HK
2022-09-16,125.0,125.5,122.2,122.5,10311080,1271861443.0,HK.09888,百度集团-SW,HK
2022-09-19,121.8,122.4,119.2,121.1,6851391,827824899.0,HK.09888,百度集团-SW,HK
2022-09-20,122.4,125.4,122.4,124.5,4572518,568719472.0,HK.09888,百度集团-SW,HK
2022-09-21,122.8,123.1,120.3,121.0,3715395,450927511.0,HK.09888,百度集团-SW,HK
2022-09-22,117.0,118.9,114.6,118.5,4630837,543969527.0,HK.09888,百度集团-SW,HK
2022-09-23,117.0,118.6,116.4,116.4,3670516,430346064.0,HK.09888,百度集团-SW,HK
2022-09-26,115.5,119.2,115.2,117.2,4045756,474056133.0,HK.09888,百度集团-SW,HK
2022-09-27,117.6,119.2,115.2,118.5,4191028,492931563.0,HK.09888,百度集团-SW,HK
2022-09-28,116.1,117.1,113.7,114.2,3747059,430631855.0,HK.09888,百度集团-SW,HK
2022-09-29,118.5,119.7,113.7,115.4,4287801,498654802.0,HK.09888,百度集团-SW,HK
2022-09-30,118.8,118.8,112.9,114.1,5556334,636544238.0,HK.09888,百度集团-SW,HK
2022-10-03,114.1,116.6,113.0,114.4,3186395,364256161.0,HK.09888,百度集团-SW,HK
2022-10-05,121.9,123.7,120.1,123.1,6075213,743997149.0,HK.09888,百度集团-SW,HK
2022-10-06,121.5,123.5,120.4,122.1,2263466,276153327.0,HK.09888,百度集团-SW,HK
2022-10-07,120.4,120.9,119.0,119.5,2465214,294846552.0,HK.09888,百度集团-SW,HK
2022-10-10,118.8,118.8,115.4,116.1,3208279,374391586.0,HK.09888,百度集团-SW,HK
2022-10-11,114.1,114.1,108.9,109.4,5234615,576955870.0,HK.09888,百度集团-SW,HK
2022-10-12,106.3,110.2,104.0,107.0,7529036,804505773.0,HK.09888,百度集团-SW,HK
2022-10-13,106.3,106.7,101.9,102.2,5936842,614117598.0,HK.09888,百度集团-SW,HK
2022-10-14,105.5,108.3,103.6,104.4,6198581,655503577.0,HK.09888,百度集团-SW,HK
2022-10-17,98.9,99.8,95.65,98.85,10002812,978953261.0,HK.09888,百度集团-SW,HK
2022-10-18,100.2,102.5,98.75,102.1,5458338,550508231.0,HK.09888,百度集团-SW,HK
2022-10-19,101.5,102.3,99.25,99.55,5803652,582552938.0,HK.09888,百度集团-SW,HK
2022-10-20,91.0,93.5,89.6,91.5,15011454,1370597763.0,HK.09888,百度集团-SW,HK
2022-10-21,91.45,91.75,89.3,89.75,8064856,729396952.0,HK.09888,百度集团-SW,HK
2022-10-24,85.75,86.95,77.2,78.8,15953242,1286428212.0,HK.09888,百度集团-SW,HK
2022-10-25,78.55,83.2,75.6,80.15,12524862,997255936.0,HK.09888,百度集团-SW,HK
2022-10-26,78.1,83.2,78.1,80.5,11147509,901915166.0,HK.09888,百度集团-SW,HK
2022-10-27,83.3,83.85,79.3,80.25,11521100,936740274.0,HK.09888,百度集团-SW,HK
2022-10-28,79.45,79.45,74.7,75.7,9323540,711511697.0,HK.09888,百度集团-SW,HK
2022-10-31,74.6,78.6,73.7,75.1,9424566,714991147.0,HK.09888,百度集团-SW,HK
2022-11-01,76.0,81.85,75.2,80.75,10425580,825863966.0,HK.09888,百度集团-SW,HK
2022-11-02,78.6,81.55,76.75,81.05,6685841,531672588.0,HK.09888,百度集团-SW,HK
2022-11-03,77.0,77.95,75.5,75.85,8639050,660114537.0,HK.09888,百度集团-SW,HK
2022-11-04,75.85,86.55,75.85,82.6,17309142,1419806443.0,HK.09888,百度集团-SW,HK
2022-11-07,79.8,87.2,79.65,85.85,7171954,612640788.0,HK.09888,百度集团-SW,HK
2022-11-08,83.45,84.4,82.1,83.65,4867619,405535355.0,HK.09888,百度集团-SW,HK
2022-11-09,82.45,84.1,79.2,80.25,6536842,527441003.0,HK.09888,百度集团-SW,HK
2022-11-10,79.0,79.25,77.35,78.3,4388770,343572227.0,HK.09888,百度集团-SW,HK
2022-11-11,84.3,86.0,82.5,85.45,13352658,1126064539.0,HK.09888,百度集团-SW,HK
2022-11-14,90.0,91.0,87.05,88.7,9873868,870538646.0,HK.09888,百度集团-SW,HK
