date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-04-25,80.25,80.4,76.65,77.3,43001305,3556386902.0,HK.09988,阿里巴巴-W,HK
2022-04-26,79.95,83.35,79.2,80.35,38304821,3265629395.0,HK.09988,阿里巴巴-W,HK
2022-04-27,79.8,80.9,78.45,80.0,27917828,2358172975.0,HK.09988,阿里巴巴-W,HK
2022-04-28,83.45,84.0,81.75,83.7,40675166,3563551981.0,HK.09988,阿里巴巴-W,HK
2022-04-29,83.7,99.25,82.6,97.55,102134425,10061608128.0,HK.09988,阿里巴巴-W,HK
2022-05-03,95.45,98.55,87.95,95.75,103238870,10171090312.0,HK.09988,阿里巴巴-W,HK
2022-05-04,93.95,94.0,91.3,92.0,29177225,2831638657.0,HK.09988,阿里巴巴-W,HK
2022-05-05,94.95,96.55,91.65,92.15,27991225,2749628579.0,HK.09988,阿里巴巴-W,HK
2022-05-06,87.5,88.3,84.75,85.8,50887668,4618635657.0,HK.09988,阿里巴巴-W,HK
2022-05-10,78.95,82.65,78.6,81.45,64139439,5494002313.0,HK.09988,阿里巴巴-W,HK
2022-05-11,79.15,83.4,79.05,81.1,63211009,5422492128.0,HK.09988,阿里巴巴-W,HK
2022-05-12,77.3,78.0,75.35,75.45,69966835,5667870125.0,HK.09988,阿里巴巴-W,HK
2022-05-13,77.65,78.3,76.7,77.65,53688518,4409693981.0,HK.09988,阿里巴巴-W,HK
2022-05-16,81.45,81.7,78.55,80.05,37186669,3142473119.0,HK.09988,阿里巴巴-W,HK
2022-05-17,82.95,87.25,82.1,86.0,65364000,5848381824.0,HK.09988,阿里巴巴-W,HK
2022-05-18,86.0,86.0,83.25,85.45,40887159,3645645079.0,HK.09988,阿里巴巴-W,HK
2022-05-19,80.45,80.85,78.2,78.8,63967045,5369663306.0,HK.09988,阿里巴巴-W,HK
2022-05-20,81.75,84.25,81.05,83.5,37411832,3266774104.0,HK.09988,阿里巴巴-W,HK
2022-05-23,81.65,82.0,79.3,80.55,48116001,4088570448.0,HK.09988,阿里巴巴-W,HK
2022-05-24,80.25,81.75,78.35,79.05,41592157,3506078201.0,HK.09988,阿里巴巴-W,HK
2022-05-25,77.45,79.6,76.8,77.8,39360501,3245900064.0,HK.09988,阿里巴巴-W,HK
2022-05-26,77.45,77.45,75.1,76.55,44520428,3591818494.0,HK.09988,阿里巴巴-W,HK
2022-05-27,86.45,87.85,85.3,86.45,94943603,8608615771.0,HK.09988,阿里巴巴-W,HK
2022-05-30,87.15,90.35,86.75,90.35,58244941,5426962293.0,HK.09988,阿里巴巴-W,HK
2022-05-31,90.05,92.95,88.55,91.7,87590516,8413075197.0,HK.09988,阿里巴巴-W,HK
2022-06-01,91.45,91.65,89.45,90.05,34758451,3304712425.0,HK.09988,阿里巴巴-W,HK
2022-06-02,87.2,88.45,86.45,87.75,38921083,3582676327.0,HK.09988,阿里巴巴-W,HK
2022-06-06,88.3,94.05,86.7,92.4,61560025,5828153251.0,HK.09988,阿里巴巴-W,HK
2022-06-07,92.4,97.25,91.6,94.25,88847430,8825937938.0,HK.09988,阿里巴巴-W,HK
2022-06-08,98.85,105.85,97.95,104.25,116293353,12457798648.0,HK.09988,阿里巴巴-W,HK
2022-06-09,111.65,111.75,103.55,106.75,113806634,12758906321.0,HK.09988,阿里巴巴-W,HK
