date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-05-23,1605.08,1608.97,1577.08,1586.08,2215713,3950856594.0,SH.600519,贵州茅台,CN
2022-05-24,1591.08,1592.08,1560.58,1565.08,2734222,4824599922.0,SH.600519,贵州茅台,CN
2022-05-25,1570.35,1577.08,1552.08,1560.59,2238869,3929477102.0,SH.600519,贵州茅台,CN
2022-05-26,1566.08,1566.08,1535.08,1547.88,2805344,4888109192.0,SH.600519,贵州茅台,CN
2022-05-27,1565.07,1585.08,1558.09,1560.24,2511958,4436904896.0,SH.600519,贵州茅台,CN
2022-05-30,1571.08,1595.63,1571.08,1583.49,3446569,6135631304.0,SH.600519,贵州茅台,CN
2022-05-31,1579.85,1619.98,1572.06,1609.11,4075082,7329201058.0,SH.600519,贵州茅台,CN
2022-06-01,1607.08,1619.86,1584.08,1593.33,2176001,3897858999.0,SH.600519,贵州茅台,CN
2022-06-02,1593.05,1600.88,1585.08,1591.08,1691473,3019718032.0,SH.600519,贵州茅台,CN
2022-06-06,1595.08,1600.08,1563.08,1593.08,3674126,6535329352.0,SH.600519,贵州茅台,CN
2022-06-07,1589.22,1630.08,1575.39,1622.98,3504859,6356031009.0,SH.600519,贵州茅台,CN
2022-06-08,1630.08,1687.08,1630.08,1670.68,4435381,8236953846.0,SH.600519,贵州茅台,CN
2022-06-09,1677.08,1693.43,1654.08,1658.08,2632902,4897066622.0,SH.600519,贵州茅台,CN
2022-06-10,1650.09,1712.08,1640.08,1705.68,4734462,8882462598.0,SH.600519,贵州茅台,CN
2022-06-13,1695.08,1697.08,1653.16,1661.08,3675518,6847248995.0,SH.600519,贵州茅台,CN
2022-06-14,1639.08,1680.5,1637.08,1676.08,2941623,5467949348.0,SH.600519,贵州茅台,CN
2022-06-15,1675.08,1710.08,1668.07,1680.18,3366362,6354869100.0,SH.600519,贵州茅台,CN
2022-06-16,1699.67,1712.71,1680.41,1682.08,2688670,5087605391.0,SH.600519,贵州茅台,CN
2022-06-17,1683.17,1757.08,1683.17,1756.08,5054161,9749530916.0,SH.600519,贵州茅台,CN
2022-06-20,1755.08,1775.08,1735.08,1747.1,3497478,6802792459.0,SH.600519,贵州茅台,CN
2022-06-21,1754.08,1772.07,1733.08,1750.82,2371702,4617805127.0,SH.600519,贵州茅台,CN
2022-06-22,1760.08,1763.08,1737.08,1741.08,1964665,3813775294.0,SH.600519,贵州茅台,CN
2022-06-23,1747.78,1770.12,1745.08,1762.18,2684352,5239860443.0,SH.600519,贵州茅台,CN
