date,signal_type,signal_description
2022-08-31,normal_sell,空
2022-08-31,strong_sell,强空
2022-09-30,normal_buy,多
2022-09-30,strong_buy,强多
2022-10-11,normal_buy,多
2022-10-11,strong_buy,强多
2023-03-10,normal_buy,多
2023-03-10,strong_buy,强多
2023-03-17,normal_buy,多
2023-03-23,normal_sell,空
2023-05-09,normal_buy,多
2023-07-18,normal_buy,多
2023-10-10,normal_sell,空
2023-10-19,normal_buy,多
2024-01-25,normal_sell,空
2024-02-28,normal_buy,多
2024-04-22,normal_sell,空
2024-04-23,normal_sell,空
2024-04-24,normal_sell,空
2024-04-24,strong_sell,强空
2024-05-31,normal_buy,多
2024-07-17,normal_buy,多
2024-07-25,normal_buy,多
2024-09-19,normal_sell,空
2024-11-25,normal_buy,多
2024-11-25,strong_buy,强多
2024-12-06,normal_sell,空
2025-01-07,normal_buy,多
2025-01-08,normal_buy,多
2025-01-08,strong_buy,强多
2025-03-06,normal_sell,空
2025-06-19,normal_buy,多
2025-07-11,normal_buy,多
2025-08-25,normal_sell,空
2025-08-25,strong_sell,强空
2025-10-31,normal_buy,多
2025-11-18,normal_buy,多
2025-12-19,normal_sell,空
2026-01-02,normal_sell,空
2026-01-05,normal_sell,空
2026-01-06,normal_sell,空
2026-01-28,normal_sell,空
2026-01-29,normal_sell,空
2026-03-10,normal_sell,空
