date,signal_type,signal_description
2022-10-21,normal_buy,多
2022-10-24,normal_buy,多
2022-10-24,strong_buy,强多
2023-03-10,normal_buy,多
2023-04-20,normal_buy,多
2023-05-19,normal_buy,多
2023-08-24,normal_sell,空
2023-09-04,normal_buy,多
2023-10-18,normal_buy,多
2023-11-28,normal_buy,多
2024-01-17,normal_buy,多
2024-01-17,strong_buy,强多
2024-01-19,normal_buy,多
2024-01-19,strong_buy,强多
2024-03-12,normal_sell,空
2024-03-12,strong_sell,强空
2024-06-07,normal_buy,多
2024-06-07,strong_buy,强多
2024-08-09,normal_sell,空
2024-09-19,normal_sell,空
2024-09-20,normal_sell,空
2024-09-30,normal_sell,空
2024-09-30,strong_sell,强空
2024-11-05,normal_sell,空
2025-02-05,normal_sell,空
2025-02-05,strong_sell,强空
2025-03-06,normal_sell,空
2025-03-07,normal_sell,空
2025-05-19,normal_buy,多
2025-06-06,normal_sell,空
2025-06-06,strong_sell,强空
2025-07-08,normal_sell,空
2025-07-16,normal_sell,空
2025-07-16,strong_sell,强空
2025-08-12,normal_buy,多
2025-10-02,normal_sell,空
2025-10-02,strong_sell,强空
2025-10-14,normal_buy,多
2025-11-20,normal_buy,多
2026-01-05,normal_sell,空
2026-02-03,normal_buy,多
2026-02-26,normal_buy,多
2026-02-26,strong_buy,强多
2026-03-02,normal_buy,多
2026-03-02,strong_buy,强多
2026-03-19,normal_buy,多
2026-03-19,strong_buy,强多
2026-03-26,normal_buy,多
2026-05-06,normal_sell,空
2026-05-07,normal_sell,空
2026-05-08,normal_sell,空
