date,signal_type,signal_description
2022-11-04,normal_sell,空
2022-11-24,normal_buy,多
2022-11-29,normal_sell,空
2023-02-02,normal_sell,空
2023-03-10,normal_buy,多
2023-03-10,strong_buy,强多
2023-03-23,normal_sell,空
2023-04-25,normal_buy,多
2023-07-06,normal_sell,空
2023-07-13,normal_sell,空
2023-07-13,strong_sell,强空
2023-08-24,normal_sell,空
2023-09-05,normal_buy,多
2023-10-19,normal_sell,空
2023-10-19,strong_sell,强空
2023-10-30,normal_sell,空
2023-10-30,strong_sell,强空
2023-11-09,normal_sell,空
2023-11-09,strong_sell,强空
2024-01-17,normal_buy,多
2024-01-17,strong_buy,强多
2024-03-12,normal_sell,空
2024-08-19,normal_sell,空
2024-08-30,normal_sell,空
2024-08-30,strong_sell,强空
2024-09-23,normal_sell,空
2024-09-24,normal_sell,空
2024-09-24,strong_sell,强空
2024-11-11,normal_sell,空
2024-11-11,strong_sell,强空
2024-11-22,normal_sell,空
2024-12-09,normal_sell,空
2024-12-20,normal_sell,空
2024-12-20,strong_sell,强空
2025-04-02,normal_buy,多
2025-05-30,normal_buy,多
2025-06-24,normal_sell,空
2025-07-29,normal_buy,多
2025-08-07,normal_buy,多
2025-10-13,normal_buy,多
2025-11-18,normal_buy,多
2025-11-18,strong_buy,强多
2025-11-19,normal_buy,多
2025-11-19,strong_buy,强多
2026-01-07,normal_buy,多
2026-01-07,strong_buy,强多
2026-01-20,normal_buy,多
2026-01-20,strong_buy,强多
2026-02-04,normal_buy,多
2026-02-04,strong_buy,强多
2026-03-16,normal_sell,空
2026-04-02,normal_buy,多
