date,signal_type,signal_description
2022-08-16,normal_buy,多
2022-09-19,normal_buy,多
2022-09-19,strong_buy,强多
2023-03-10,normal_buy,多
2023-04-17,normal_sell,空
2024-01-10,normal_buy,多
2024-01-16,normal_buy,多
2024-01-17,normal_buy,多
2024-01-22,normal_buy,多
2024-01-22,strong_buy,强多
2024-02-27,normal_sell,空
2024-02-27,strong_sell,强空
2024-05-17,normal_buy,多
2024-05-31,normal_buy,多
2024-05-31,strong_buy,强多
2024-08-09,normal_sell,空
2024-08-19,normal_sell,空
2024-09-19,normal_sell,空
2024-09-20,normal_sell,空
2024-09-24,normal_sell,空
2024-09-24,strong_sell,强空
2024-12-20,normal_sell,空
2024-12-27,normal_sell,空
2024-12-27,strong_sell,强空
2025-01-21,normal_sell,空
2025-06-06,normal_sell,空
2025-06-09,normal_sell,空
2025-10-13,normal_buy,多
2025-10-13,strong_buy,强多
2025-11-20,normal_buy,多
2025-11-20,strong_buy,强多
2026-02-05,normal_sell,空
2026-02-06,normal_sell,空
2026-02-06,strong_sell,强空
2026-02-26,normal_buy,多
2026-05-11,normal_sell,空
2026-05-14,normal_sell,空
