date,signal_type,signal_description
2022-08-10,normal_buy,多
2022-08-10,strong_buy,强多
2022-10-10,normal_buy,多
2022-10-11,normal_buy,多
2022-10-12,normal_buy,多
2022-11-04,normal_sell,空
2022-11-30,normal_sell,空
2023-01-05,normal_sell,空
2023-01-16,normal_buy,多
2023-02-06,normal_buy,多
2023-02-08,normal_buy,多
2023-05-29,normal_buy,多
2023-05-29,strong_buy,强多
2023-05-31,normal_buy,多
2023-08-24,normal_sell,空
2023-09-27,normal_buy,多
2023-09-27,strong_buy,强多
2023-09-28,normal_buy,多
2023-09-28,strong_buy,强多
2023-10-11,normal_sell,空
2023-11-20,normal_buy,多
2023-11-28,normal_buy,多
2023-11-29,normal_buy,多
2023-11-29,strong_buy,强多
2024-04-23,normal_sell,空
2024-04-24,normal_sell,空
2024-04-24,strong_sell,强空
2024-05-31,normal_buy,多
2024-05-31,strong_buy,强多
2024-06-07,normal_buy,多
2024-07-25,normal_buy,多
2024-09-19,normal_sell,空
2024-09-19,strong_sell,强空
2024-09-20,normal_sell,空
2024-09-20,strong_sell,强空
2024-11-25,normal_buy,多
2024-11-25,strong_buy,强多
2025-01-10,normal_buy,多
2025-01-10,strong_buy,强多
2025-01-13,normal_buy,多
2025-01-13,strong_buy,强多
2025-02-03,normal_buy,多
2025-05-29,normal_sell,空
2025-06-30,normal_buy,多
2025-07-03,normal_buy,多
2025-07-03,strong_buy,强多
2025-07-07,normal_buy,多
2025-07-07,strong_buy,强多
2025-07-15,normal_sell,空
2025-08-28,normal_buy,多
2025-08-28,strong_buy,强多
2025-12-12,normal_sell,空
2026-01-08,normal_buy,多
2026-01-09,normal_buy,多
2026-02-10,normal_buy,多
2026-02-10,strong_buy,强多
2026-05-13,normal_sell,空
