date,signal_type,signal_description
2022-08-09,normal_buy,多
2022-08-10,normal_buy,多
2022-09-30,normal_buy,多
2022-09-30,strong_buy,强多
2022-11-30,normal_sell,空
2023-02-21,normal_buy,多
2023-02-21,strong_buy,强多
2023-03-10,normal_buy,多
2023-03-10,strong_buy,强多
2023-05-10,normal_buy,多
2023-05-11,normal_buy,多
2023-05-25,normal_buy,多
2023-10-13,normal_buy,多
2024-01-17,normal_buy,多
2024-01-17,strong_buy,强多
2024-01-18,normal_buy,多
2024-01-18,strong_buy,强多
2024-01-22,normal_buy,多
2024-01-22,strong_buy,强多
2024-04-23,normal_sell,空
2024-04-26,normal_sell,空
2024-04-26,strong_sell,强空
2024-05-13,normal_sell,空
2024-05-13,strong_sell,强空
2024-05-23,normal_buy,多
2024-05-31,normal_buy,多
2024-08-15,normal_buy,多
2024-08-30,normal_sell,空
2024-09-19,normal_sell,空
2024-09-24,normal_sell,空
2024-09-24,strong_sell,强空
2024-09-30,normal_sell,空
2024-09-30,strong_sell,强空
2024-10-02,normal_sell,空
2024-10-02,strong_sell,强空
2024-12-09,normal_sell,空
2024-12-09,strong_sell,强空
2024-12-20,normal_buy,多
2025-01-17,normal_sell,空
2025-01-20,normal_sell,空
2025-01-20,strong_sell,强空
2025-02-13,normal_buy,多
2025-03-06,normal_sell,空
2025-04-24,normal_buy,多
2025-04-24,strong_buy,强多
2025-07-03,normal_buy,多
2025-07-04,normal_buy,多
2025-08-28,normal_buy,多
2025-09-09,normal_sell,空
2025-09-10,normal_sell,空
2025-10-13,normal_buy,多
2026-02-13,normal_buy,多
2026-02-26,normal_buy,多
2026-03-02,normal_buy,多
2026-03-03,normal_buy,多
2026-03-04,normal_buy,多
2026-03-04,strong_buy,强多
2026-05-13,normal_sell,空
