date,signal_type,signal_description
2022-08-24,normal_buy,多
2022-09-14,normal_sell,空
2022-11-10,normal_buy,多
2022-11-30,normal_sell,空
2022-12-28,normal_buy,多
2023-01-06,normal_buy,多
2023-03-30,normal_sell,空
2023-04-17,normal_sell,空
2023-04-20,normal_buy,多
2023-05-25,normal_buy,多
2023-06-14,normal_sell,空
2023-06-16,normal_sell,空
2023-06-16,strong_sell,强空
2023-07-25,normal_sell,空
2023-07-25,strong_sell,强空
2023-11-29,normal_buy,多
2024-01-17,normal_buy,多
2024-01-17,strong_buy,强多
2024-01-31,normal_buy,多
2024-09-30,normal_sell,空
2024-09-30,strong_sell,强空
2024-12-04,normal_sell,空
2025-02-14,normal_sell,空
2025-04-07,normal_buy,多
2025-05-27,normal_buy,多
2025-07-09,normal_sell,空
2025-07-10,normal_sell,空
2025-07-11,normal_sell,空
2025-07-14,normal_sell,空
2025-07-14,strong_sell,强空
2025-08-25,normal_sell,空
2025-08-25,strong_sell,强空
2025-11-20,normal_buy,多
2025-11-20,strong_buy,强多
2026-01-05,normal_buy,多
2026-04-24,normal_buy,多
2026-05-18,normal_buy,多
2026-05-19,normal_buy,多
2026-05-20,normal_buy,多
2026-05-20,strong_buy,强多
2026-05-21,normal_buy,多
2026-05-21,strong_buy,强多
2026-05-22,normal_buy,多
2026-05-22,strong_buy,强多
