date,signal_type,signal_description
2022-08-18,normal_buy,多
2022-10-17,normal_buy,多
2022-10-17,strong_buy,强多
2022-11-30,normal_sell,空
2022-11-30,strong_sell,强空
2023-01-30,normal_sell,空
2023-03-16,normal_buy,多
2023-07-31,normal_sell,空
2023-10-13,normal_buy,多
2023-10-16,normal_buy,多
2023-10-17,normal_buy,多
2023-10-18,normal_buy,多
2023-10-19,normal_buy,多
2023-10-19,strong_buy,强多
2024-01-16,normal_buy,多
2024-02-23,normal_sell,空
2024-04-09,normal_buy,多
2024-04-26,normal_sell,空
2024-04-29,normal_sell,空
2024-05-31,normal_buy,多
2024-05-31,strong_buy,强多
2024-06-11,normal_buy,多
2024-06-12,normal_buy,多
2024-06-12,strong_buy,强多
2024-07-02,normal_buy,多
2024-07-02,strong_buy,强多
2024-09-19,normal_sell,空
2024-09-20,normal_sell,空
2024-09-24,normal_sell,空
2024-09-24,strong_sell,强空
2024-10-02,normal_sell,空
2024-10-02,strong_sell,强空
2025-01-28,normal_sell,空
2025-02-10,normal_sell,空
2025-02-10,strong_sell,强空
2025-07-08,normal_sell,空
2025-08-21,normal_buy,多
2025-09-05,normal_sell,空
2025-09-08,normal_sell,空
2025-09-08,strong_sell,强空
2025-09-12,normal_sell,空
2025-09-12,strong_sell,强空
2025-11-21,normal_buy,多
2025-12-08,normal_sell,空
2025-12-12,normal_sell,空
2025-12-12,strong_sell,强空
2026-01-02,normal_sell,空
2026-01-02,strong_sell,强空
2026-01-20,normal_sell,空
2026-01-20,strong_sell,强空
2026-01-21,normal_sell,空
2026-01-21,strong_sell,强空
2026-01-22,normal_sell,空
2026-01-22,strong_sell,强空
2026-02-03,normal_buy,多
2026-03-23,normal_buy,多
