date,signal_type,signal_description
2022-09-29,normal_buy,多
2022-10-12,normal_buy,多
2022-11-30,normal_sell,空
2023-01-11,normal_sell,空
2023-01-11,strong_sell,强空
2023-03-10,normal_buy,多
2023-03-10,strong_buy,强多
2023-03-23,normal_sell,空
2023-05-19,normal_buy,多
2023-05-31,normal_buy,多
2023-11-10,normal_buy,多
2024-01-09,normal_buy,多
2024-01-10,normal_buy,多
2024-01-17,normal_buy,多
2024-01-17,strong_buy,强多
2024-01-18,normal_buy,多
2024-01-18,strong_buy,强多
2024-01-22,normal_buy,多
2024-03-12,normal_sell,空
2024-04-10,normal_sell,空
2024-04-24,normal_sell,空
2024-04-26,normal_sell,空
2024-05-13,normal_sell,空
2024-05-13,strong_sell,强空
2024-05-14,normal_sell,空
2024-05-14,strong_sell,强空
2024-05-16,normal_sell,空
2024-05-16,strong_sell,强空
2024-05-17,normal_sell,空
2024-05-17,strong_sell,强空
2024-05-23,normal_buy,多
2024-05-31,normal_buy,多
2024-07-08,normal_buy,多
2024-09-19,normal_sell,空
2024-09-20,normal_sell,空
2024-09-20,strong_sell,强空
2024-09-30,normal_sell,空
2024-09-30,strong_sell,强空
2024-11-19,normal_buy,多
2024-11-19,strong_buy,强多
2024-11-20,normal_buy,多
2025-01-20,normal_sell,空
2025-02-10,normal_sell,空
2025-02-10,strong_sell,强空
2025-03-07,normal_sell,空
2025-05-12,normal_sell,空
2025-05-12,strong_sell,强空
2025-06-13,normal_buy,多
2025-06-30,normal_buy,多
2025-07-02,normal_buy,多
2025-07-03,normal_buy,多
2025-07-15,normal_sell,空
2025-09-09,normal_sell,空
2025-09-09,strong_sell,强空
2025-10-10,normal_buy,多
2026-02-26,normal_buy,多
2026-02-26,strong_buy,强多
2026-02-27,normal_buy,多
2026-02-27,strong_buy,强多
2026-03-02,normal_buy,多
2026-03-02,strong_buy,强多
2026-03-04,normal_buy,多
2026-03-04,strong_buy,强多
2026-03-05,normal_buy,多
2026-03-05,strong_buy,强多
