date,signal_type,signal_description
2022-08-10,normal_buy,多
2022-09-05,normal_buy,多
2022-10-10,normal_buy,多
2022-10-12,normal_buy,多
2022-10-12,strong_buy,强多
2022-10-13,normal_buy,多
2022-10-13,strong_buy,强多
2022-10-19,normal_buy,多
2022-10-19,strong_buy,强多
2022-11-29,normal_sell,空
2023-02-03,normal_buy,多
2023-04-10,normal_buy,多
2023-04-11,normal_buy,多
2023-04-12,normal_buy,多
2023-05-08,normal_buy,多
2023-05-30,normal_buy,多
2023-05-31,normal_buy,多
2023-05-31,strong_buy,强多
2023-06-14,normal_sell,空
2023-06-16,normal_sell,空
2023-07-25,normal_sell,空
2023-07-25,strong_sell,强空
2023-08-22,normal_buy,多
2023-08-22,strong_buy,强多
2023-09-15,normal_buy,多
2023-10-09,normal_buy,多
2023-11-30,normal_sell,空
2023-12-05,normal_buy,多
2024-02-07,normal_sell,空
2024-04-08,normal_buy,多
2024-04-29,normal_sell,空
2024-06-03,normal_buy,多
2024-06-03,strong_buy,强多
2024-06-07,normal_buy,多
2024-06-07,strong_buy,强多
2024-06-11,normal_buy,多
2024-06-11,strong_buy,强多
2024-07-26,normal_buy,多
2024-07-30,normal_buy,多
2024-08-28,normal_buy,多
2024-08-28,strong_buy,强多
2024-09-19,normal_buy,多
2024-09-19,strong_buy,强多
2024-09-30,normal_sell,空
2024-09-30,strong_sell,强空
2025-01-02,normal_buy,多
2025-01-06,normal_buy,多
2025-02-05,normal_buy,多
2025-02-28,normal_sell,空
2025-03-11,normal_sell,空
2025-05-26,normal_buy,多
2025-07-10,normal_sell,空
2025-07-11,normal_sell,空
2025-07-18,normal_sell,空
2025-07-22,normal_sell,空
2025-07-22,strong_sell,强空
2025-07-23,normal_sell,空
2025-07-23,strong_sell,强空
2025-09-08,normal_sell,空
2025-09-18,normal_buy,多
2025-12-30,normal_buy,多
2025-12-31,normal_buy,多
2026-01-16,normal_buy,多
2026-01-21,normal_buy,多
2026-01-22,normal_buy,多
2026-01-23,normal_buy,多
2026-01-23,strong_buy,强多
2026-03-17,normal_sell,空
2026-03-23,normal_buy,多
2026-05-13,normal_buy,多
